"MethodName","InternalCallCount","InternalFiles"
"GetFunctionalObservations","2","DBConnection.archive.cs"
"GetAuditEntitiesByTypeId","2","DBConnection.archive.cs"
"AddNewLegacyPara","2","DBConnection.archive.cs"
"GetAddedLegacyParaForAuthorize","2","DBConnection.archive.cs"
"AuthorizeLegacyParaAddition","2","DBConnection.archive.cs"
"DeleteLegacyParaAdditionRequest","2","DBConnection.archive.cs"
"GetOldSettledParasForResponseAuthorize","2","DBConnection.archive.cs"
"AddAuthorizeChangeStatusRequestForSettledPara","2","DBConnection.archive.cs"
"GetUpdatedGistParaOfLegacyParaForAuthorize","2","DBConnection.archive.cs"
"AuthorizeLegacyParaGistParaNoUpdate","2","DBConnection.archive.cs"
"GetDuplicateParasForAuthorization","2","DBConnection.archive.cs"
"RejectDeleteDuplicatePara","2","DBConnection.archive.cs"
"AuthDeleteDuplicatePara","2","DBConnection.archive.cs"
"GetDepositAccountSubdetails","2","DBConnection.archive.cs"
"GetDepositAccountcatdetails","2","DBConnection.archive.cs"
"GetIncomeExpenceDetails","2","DBConnection.archive.cs"
"GetCurrentParasForStatusChangeRequestAuthorize","2","DBConnection.archive.cs"
"AddChangeStatusRequestForCurrentPara","2","DBConnection.archive.cs"
"GetParasForStatusChange","2","DBConnection.archive.cs"
"AddChangeStatusRequestForPara","2","DBConnection.archive.cs"
"GetParasForStatusChangeToAuthorize","2","DBConnection.archive.cs"
"AuthorizeChangeStatusRequestForPara","2","DBConnection.archive.cs"
"SafeReadNullableLong","4","DBConnection.CAD.cs"
"SafeReadNullableInt","18","DBConnection.CAD.cs; DBConnection.CAU.cs; DBConnection.IID.cs"
"SafeReadString","35","DBConnection.CAD.cs; DBConnection.CAU.cs"
"SafeReadInt","6","DBConnection.CAD.cs; DBConnection.CAU.cs; DBConnection.IID.cs"
"ReadOutputNullableInt","1","DBConnection.CAU.cs"
"InvalidCommercialAuditSessionResult","6","DBConnection.CAU.cs"
"AddNullableIntParameter","11","DBConnection.CAU.cs"
"NormalizeActiveFlag","12","DBConnection.CAU.cs"
