"ProcedureCall","PackageName","ProcedureName","ObjectRefs","ReadObjects","WriteObjects"
"PKG_HD.P_REQUEST_DELETE_RESPONSE","PKG_HD","P_REQUEST_DELETE_RESPONSE","V_EXISTS; V_SNAP; T_HD_SBP_OBS_RESPONSE; T_HD_ACTION_REQUEST","T_HD_SBP_OBS_RESPONSE","T_HD_ACTION_REQUEST"
"PKG_HD.P_REQUEST_REVERSE","PKG_HD","P_REQUEST_REVERSE","V_ROW; T_HD_ACTION_REQUEST","T_HD_ACTION_REQUEST","T_HD_ACTION_REQUEST"
"PKG_HD.P_APPROVE_REQUEST","PKG_HD","P_APPROVE_REQUEST","V_REQ; T_HD_ACTION_REQUEST","T_HD_ACTION_REQUEST","T_HD_ACTION_REQUEST"
"PKG_HD.P_REJECT_REQUEST","PKG_HD","P_REJECT_REQUEST","V_REQ; T_HD_ACTION_REQUEST","T_HD_ACTION_REQUEST","T_HD_ACTION_REQUEST"
"PKG_HD.P_GET_REQUESTS","PKG_HD","P_GET_REQUESTS","T_CURSOR; T_HD_ACTION_REQUEST","T_HD_ACTION_REQUEST",""
"PKG_HD.P_GET_REQUEST_HISTORY","PKG_HD","P_GET_REQUEST_HISTORY","T_CURSOR; T_HD_ACTION_LOG","T_HD_ACTION_LOG",""
"PKG_HD.P_GET_BACKOFFICEDASHBOARDENGAGEMENTS","PKG_HD","P_GET_BACKOFFICEDASHBOARDENGAGEMENTS","T_CURSOR; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES","T_AU_PLAN_ENG; T_AUDITEE_ENTITIES",""
"PKG_INQ.P_GETINSPECTIONUNITS","PKG_INQ","P_GETINSPECTIONUNITS","T_CURSOR; T_AUDITEE_ENTITIES","T_AUDITEE_ENTITIES",""
"PKG_INQ.P_CREATE_COMPLAINT_HDR","PKG_INQ","P_CREATE_COMPLAINT_HDR","V_COMPLAINT_NO; T_AU_IID_COMPLAINT_HDR","","T_AU_IID_COMPLAINT_HDR"
"PKG_INQ.P_SAVE_COMPLAINT_IAID","PKG_INQ","P_SAVE_COMPLAINT_IAID","T_AU_IID_COMPLAINANT","T_AU_IID_COMPLAINANT","PRIMARY; VIA"
"PKG_INQ.P_GET_COMPLAINT_HDR","PKG_INQ","P_GET_COMPLAINT_HDR","T_CURSOR; T_AU_IID_COMPLAINT_HDR","T_AU_IID_COMPLAINT_HDR",""
"PKG_INQ.GET_COMPLAINTS","PKG_INQ","GET_COMPLAINTS","T_CURSOR; T_USER_MAPING; T_AU_IID_COMPLAINT_HDR; T_AU_IID_COMPLAINT_IAID; T_AU_IID_COMPLAINANT; T_AUDITEE_ENTITIES","T_USER_MAPING; T_AU_IID_COMPLAINT_HDR; T_AU_IID_COMPLAINT_IAID; T_AU_IID_COMPLAINANT; T_AUDITEE_ENTITIES",""
"PKG_INQ.GET_COMPLAINTS_WITHOUT_ASSESSMENT","PKG_INQ","GET_COMPLAINTS_WITHOUT_ASSESSMENT","T_CURSOR; T_AU_IID_COMPLAINT_HDR; T_AU_IID_COMPLAINT_IAID; T_AU_IID_ASSESSMENT","T_AU_IID_COMPLAINT_HDR; T_AU_IID_COMPLAINT_IAID; T_AU_IID_ASSESSMENT",""
"PKG_INQ.GET_COMPLAINTS_DD","PKG_INQ","GET_COMPLAINTS_DD","T_CURSOR; T_AU_IID_COMPLAINT_HDR; T_AU_IID_COMPLAINT_IAID; T_AU_IID_COMPLAINANT; T_AU_IID_STATUS_MST","T_AU_IID_COMPLAINT_HDR; T_AU_IID_COMPLAINT_IAID; T_AU_IID_COMPLAINANT; T_AU_IID_STATUS_MST",""
"PKG_INQ.GET_LATEST_INQUIRY_REPORT_BY_COMPLAINT","PKG_INQ","GET_LATEST_INQUIRY_REPORT_BY_COMPLAINT","T_AU_IID_INQ_ACCUSED_LIST; T_AU_IID_INQ_STATEMENTS; T_AU_IID_INQ_RECORD_SCRUTINIZED; T_AU_IID_INQ_FIND_RECOMM; T_AU_IID_INQ_ACCUSATIONS; T_AU_IID_INQ_EVIDENCE_FILES; T_AU_IID_INQ_DSA; T_AU_IID_COMPLAINT_IAID; T_AU_IID_COMPLAINANT","T_AU_IID_INQ_ACCUSED_LIST; COMPLAINT; STATEMENTS; T_AU_IID_INQ_STATEMENTS; T_AU_IID_INQ_RECORD_SCRUTINIZED; T_AU_IID_INQ_FIND_RECOMM; T_AU_IID_INQ_ACCUSATIONS; T_AU_IID_INQ_EVIDENCE_FILES; T_AU_IID_INQ_DSA; T_AU_IID_COMPLAINT_IAID; T_AU_IID_COMPLAINANT",""
"PKG_INQ.GET_COMPLAINT","PKG_INQ","GET_COMPLAINT","T_CURSOR; T_AUDITEE_ENTITIES; T_AU_IID_COMPLAINT_HDR; T_AU_IID_COMPLAINT_IAID; T_AU_IID_COMPLAINANT; T_AU_IID_ASSESSMENT","T_AUDITEE_ENTITIES; T_AU_IID_COMPLAINT_HDR; T_AU_IID_COMPLAINT_IAID; T_AU_IID_COMPLAINANT; T_AU_IID_ASSESSMENT",""
"PKG_INQ.GET_LATEST_PLAN_BY_COMPLAINT","PKG_INQ","GET_LATEST_PLAN_BY_COMPLAINT","T_CURSOR; T_AU_IID_INV_PLAN","T_AU_IID_INV_PLAN",""
"PKG_INQ.P_GET_COMPLAINT_ID_BY_PLAN","PKG_INQ","P_GET_COMPLAINT_ID_BY_PLAN","T_AU_IID_INV_PLAN","T_AU_IID_INV_PLAN",""
"PKG_INQ.P_GET_COMPLAINT_ID_BY_REPORT","PKG_INQ","P_GET_COMPLAINT_ID_BY_REPORT","T_AU_IID_REPORT; T_AU_IID_INQUIRY_REPORT","T_AU_IID_REPORT",""
"PKG_INQ.ADD_ASSESSMENT","PKG_INQ","ADD_ASSESSMENT","T_AU_IID_ASSESSMENT; T_AU_IID_COMPLAINT_HDR","DUAL","T_AU_IID_ASSESSMENT; T_AU_IID_COMPLAINT_HDR"
"PKG_INQ.ADD_HEAD_REVIEW","PKG_INQ","ADD_HEAD_REVIEW","T_AU_IID_HEAD_REVIEW; T_AU_IID_COMPLAINT_HDR","T_AU_IID_HEAD_REVIEW; DUAL","T_AU_IID_HEAD_REVIEW; SET; HEADER; T_AU_IID_COMPLAINT_HDR"
"PKG_INQ.ADD_INV_PLAN","PKG_INQ","ADD_INV_PLAN","T_AU_IID_INV_PLAN; T_AU_IID_COMPLAINT_HDR","T_AU_IID_INV_PLAN; DUAL","T_AU_IID_INV_PLAN; SET; T_AU_IID_COMPLAINT_HDR"
"PKG_INQ.GET_INV_PLAN","PKG_INQ","GET_INV_PLAN","T_CURSOR; T_AU_IID_INV_PLAN","T_AU_IID_INV_PLAN",""
"PKG_INQ.GET_IID_TASK_LIST","PKG_INQ","GET_IID_TASK_LIST","T_CURSOR; T_AU_IID_REPORT; T_AU_IID_COMPLAINT_HDR; T_AU_IID_COMPLAINT_IAID; T_AU_IID_COMPLAINANT; T_AU_IID_ASSESSMENT; T_AU_IID_HEAD_REVIEW; T_AU_IID_INV_PLAN; T_AU_IID_HEAD_PLAN_APPROVAL","T_AU_IID_REPORT; T_AU_IID_COMPLAINT_HDR; T_AU_IID_COMPLAINT_IAID; T_AU_IID_COMPLAINANT; T_AU_IID_ASSESSMENT; T_AU_IID_HEAD_REVIEW; T_AU_IID_INV_PLAN; T_AU_IID_HEAD_PLAN_APPROVAL",""
"PKG_INQ.ADD_PLAN_APPROVAL","PKG_INQ","ADD_PLAN_APPROVAL","T_AU_IID_HEAD_PLAN_APPROVAL; T_AU_IID_INV_PLAN; T_AU_IID_COMPLAINT_HDR","T_AU_IID_HEAD_PLAN_APPROVAL; DUAL; T_AU_IID_INV_PLAN","T_AU_IID_HEAD_PLAN_APPROVAL; SET; T_AU_IID_COMPLAINT_HDR"
"PKG_INQ.ADD_INQUIRY_REPORT","PKG_INQ","ADD_INQUIRY_REPORT","T_AU_IID_REPORT","DUAL","T_AU_IID_REPORT"
"PKG_INQ.GET_INQUIRY_REPORT","PKG_INQ","GET_INQUIRY_REPORT","T_CURSOR; T_AU_IID_REPORT","T_AU_IID_REPORT",""
"PKG_INQ.ADD_ANALYSIS","PKG_INQ","ADD_ANALYSIS","T_AU_IID_ANALYSIS; T_AU_IID_REPORT","T_AU_IID_ANALYSIS; DUAL; T_AU_IID_REPORT","T_AU_IID_ANALYSIS; SET; SELECT"
"PKG_INQ.ADD_FINAL_APPROVAL","PKG_INQ","ADD_FINAL_APPROVAL","T_AU_IID_FINAL_APPROVAL; T_AU_IID_REPORT","DUAL; T_AU_IID_REPORT","T_AU_IID_FINAL_APPROVAL"
"PKG_INQ.ADD_CASE_STUDY","PKG_INQ","ADD_CASE_STUDY","T_AU_IID_CASE_STUDY","DUAL","T_AU_IID_CASE_STUDY"
"PKG_INQ.GET_REPORTS","PKG_INQ","GET_REPORTS","T_CURSOR; T_AU_IID_REPORT; T_AU_IID_COMPLAINT_HDR; T_AU_IID_COMPLAINT_IAID","T_AU_IID_REPORT; T_AU_IID_COMPLAINT_HDR; T_AU_IID_COMPLAINT_IAID",""
"PKG_INQ.GET_EMPLOYEE_INFO","PKG_INQ","GET_EMPLOYEE_INFO","T_CURSOR; V_GET_IID_EMPLOYEE_INFO","V_GET_IID_EMPLOYEE_INFO",""
"PKG_INQ.P_GET_INQ_ACCUSATIONS","PKG_INQ","P_GET_INQ_ACCUSATIONS","T_CURSOR; T_AU_IID_INQ_ACCUSATIONS","T_AU_IID_INQ_ACCUSATIONS",""
"PKG_INQ.P_ADD_INQ_ACCUSATION","PKG_INQ","P_ADD_INQ_ACCUSATION","T_CURSOR; V_ID; T_AU_IID_INQ_ACCUSATIONS","","T_AU_IID_INQ_ACCUSATIONS"
"PKG_INQ.P_UPDATE_INQ_ACCUSATION","PKG_INQ","P_UPDATE_INQ_ACCUSATION","T_CURSOR; V_CNT; T_AU_IID_INQ_ACCUSATIONS","","T_AU_IID_INQ_ACCUSATIONS; ACCUSATION"
"PKG_INQ.P_DELETE_INQ_ACCUSATION","PKG_INQ","P_DELETE_INQ_ACCUSATION","T_CURSOR; V_CNT; T_AU_IID_INQ_ACCUSATIONS","","T_AU_IID_INQ_ACCUSATIONS"
"PKG_INQ.P_GET_INQ_ACCUSED_LIST","PKG_INQ","P_GET_INQ_ACCUSED_LIST","T_CURSOR; T_AU_IID_INQ_ACCUSED_LIST","T_AU_IID_INQ_ACCUSED_LIST",""
"PKG_INQ.P_ADD_INQ_ACCUSED","PKG_INQ","P_ADD_INQ_ACCUSED","T_CURSOR; V_ID; T_AU_IID_INQ_ACCUSED_LIST","","T_AU_IID_INQ_ACCUSED_LIST"
"PKG_INQ.P_UPDATE_INQ_ACCUSED","PKG_INQ","P_UPDATE_INQ_ACCUSED","T_CURSOR; V_CNT; T_AU_IID_INQ_ACCUSED_LIST","","T_AU_IID_INQ_ACCUSED_LIST; ACCUSED"
"PKG_INQ.P_DELETE_INQ_ACCUSED","PKG_INQ","P_DELETE_INQ_ACCUSED","T_CURSOR; V_CNT; T_AU_IID_INQ_ACCUSED_LIST","","T_AU_IID_INQ_ACCUSED_LIST"
"PKG_INQ.P_GET_INQ_RECORDS","PKG_INQ","P_GET_INQ_RECORDS","T_CURSOR; T_AU_IID_INQ_RECORD_SCRUTINIZED","T_AU_IID_INQ_RECORD_SCRUTINIZED",""
"PKG_INQ.P_ADD_INQ_RECORD","PKG_INQ","P_ADD_INQ_RECORD","T_CURSOR; V_ID; T_AU_IID_INQ_RECORD_SCRUTINIZED","","T_AU_IID_INQ_RECORD_SCRUTINIZED"
"PKG_INQ.P_UPDATE_INQ_RECORD","PKG_INQ","P_UPDATE_INQ_RECORD","T_CURSOR; V_CNT; T_AU_IID_INQ_RECORD_SCRUTINIZED","","T_AU_IID_INQ_RECORD_SCRUTINIZED; RECORD"
"PKG_INQ.P_DELETE_INQ_RECORD","PKG_INQ","P_DELETE_INQ_RECORD","T_CURSOR; V_CNT; T_AU_IID_INQ_RECORD_SCRUTINIZED","","T_AU_IID_INQ_RECORD_SCRUTINIZED"
"PKG_INQ.P_GET_INQ_STATEMENTS","PKG_INQ","P_GET_INQ_STATEMENTS","T_CURSOR; T_AU_IID_INQ_STATEMENTS","T_AU_IID_INQ_STATEMENTS",""
"PKG_INQ.P_ADD_INQ_STATEMENT","PKG_INQ","P_ADD_INQ_STATEMENT","T_CURSOR; V_ID; T_AU_IID_INQ_STATEMENTS","T_AU_IID_INQ_STATEMENTS","EXISTING; T_AU_IID_INQ_STATEMENTS; STATEMENT"
"PKG_INQ.P_DELETE_INQ_STATEMENT","PKG_INQ","P_DELETE_INQ_STATEMENT","T_CURSOR; V_CNT; T_AU_IID_INQ_STATEMENTS","","T_AU_IID_INQ_STATEMENTS"
"PKG_INQ.P_GET_INQ_EVIDENCE_FILES","PKG_INQ","P_GET_INQ_EVIDENCE_FILES","T_CURSOR; T_AU_IID_INQ_EVIDENCE_FILES","T_AU_IID_INQ_EVIDENCE_FILES",""
"PKG_INQ.P_ADD_INQ_EVIDENCE_FILE","PKG_INQ","P_ADD_INQ_EVIDENCE_FILE","T_CURSOR; V_ID; T_AU_IID_INQ_EVIDENCE_FILES","","T_AU_IID_INQ_EVIDENCE_FILES"
"PKG_INQ.P_DELETE_INQ_EVIDENCE_FILE","PKG_INQ","P_DELETE_INQ_EVIDENCE_FILE","T_CURSOR; V_CNT; T_AU_IID_INQ_EVIDENCE_FILES","","T_AU_IID_INQ_EVIDENCE_FILES"
"PKG_INQ.P_GET_INQ_VIOLATIONS","PKG_INQ","P_GET_INQ_VIOLATIONS","T_CURSOR; T_AU_IID_INQ_VIOLATIONS","T_AU_IID_INQ_VIOLATIONS",""
"PKG_INQ.GET_INQ_FIND_RECOMM_STATUS","PKG_INQ","GET_INQ_FIND_RECOMM_STATUS","T_CURSOR; T_AU_IID_INQ_ACCUSATIONS; T_AU_IID_INQ_FIND_RECOMM","T_AU_IID_INQ_ACCUSATIONS; T_AU_IID_INQ_FIND_RECOMM",""
"PKG_INQ.SAVE_INQ_FINDINGS_RECOMM","PKG_INQ","SAVE_INQ_FINDINGS_RECOMM","T_CURSOR; T_AU_IID_INQ_FIND_RECOMM","DUAL","T_AU_IID_INQ_FIND_RECOMM; SET"
"PKG_INQ.GET_INQ_FINDINGS_RECOMM","PKG_INQ","GET_INQ_FINDINGS_RECOMM","T_CURSOR; T_AU_IID_INQ_FIND_RECOMM","T_AU_IID_INQ_FIND_RECOMM",""
"PKG_INQ.P_ADD_INQ_VIOLATION","PKG_INQ","P_ADD_INQ_VIOLATION","T_CURSOR; V_ID; T_AU_IID_INQ_VIOLATIONS","","T_AU_IID_INQ_VIOLATIONS"
"PKG_INQ.P_UPDATE_INQ_VIOLATION","PKG_INQ","P_UPDATE_INQ_VIOLATION","T_CURSOR; V_CNT; T_AU_IID_INQ_VIOLATIONS","","T_AU_IID_INQ_VIOLATIONS; VIOLATION"
"PKG_INQ.P_DELETE_INQ_VIOLATION","PKG_INQ","P_DELETE_INQ_VIOLATION","T_CURSOR; V_CNT; T_AU_IID_INQ_VIOLATIONS","","T_AU_IID_INQ_VIOLATIONS"
"PKG_INQ.P_GET_INQ_DSA","PKG_INQ","P_GET_INQ_DSA","T_CURSOR; T_AU_IID_INQ_DSA","T_AU_IID_INQ_DSA",""
"PKG_INQ.P_ADD_INQ_DSA","PKG_INQ","P_ADD_INQ_DSA","T_CURSOR; V_ID; T_AU_IID_INQ_DSA","","T_AU_IID_INQ_DSA"
"PKG_INQ.P_UPDATE_INQ_DSA","PKG_INQ","P_UPDATE_INQ_DSA","T_CURSOR; V_CNT; T_AU_IID_INQ_DSA","","T_AU_IID_INQ_DSA; DSA"
"PKG_INQ.P_DELETE_INQ_DSA","PKG_INQ","P_DELETE_INQ_DSA","T_CURSOR; V_CNT; T_AU_IID_INQ_DSA","","T_AU_IID_INQ_DSA"
"PKG_INQ.P_GET_INQ_EVIDENCE_STEP","PKG_INQ","P_GET_INQ_EVIDENCE_STEP","T_AU_IID_INQ_EVIDENCE_STEP","T_AU_IID_INQ_EVIDENCE_STEP",""
"PKG_INQ.P_SAVE_INQ_EVIDENCE_STEP","PKG_INQ","P_SAVE_INQ_EVIDENCE_STEP","T_CURSOR; V_EXISTS; V_MSG; T_AU_IID_INQ_EVIDENCE_STEP","T_AU_IID_INQ_EVIDENCE_STEP; DUAL","T_AU_IID_INQ_EVIDENCE_STEP"
"PKG_INQ.P_GET_INQ_PROCEEDINGS","PKG_INQ","P_GET_INQ_PROCEEDINGS","T_AU_IID_INQ_PROCEEDINGS","T_AU_IID_INQ_PROCEEDINGS",""
"PKG_INQ.P_SAVE_INQ_PROCEEDING","PKG_INQ","P_SAVE_INQ_PROCEEDING","T_CURSOR; V_MSG; T_AU_IID_INQ_PROCEEDINGS","DUAL","T_AU_IID_INQ_PROCEEDINGS"
"PKG_INQ.P_DELETE_INQ_PROCEEDING","PKG_INQ","P_DELETE_INQ_PROCEEDING","T_CURSOR; V_MSG; T_AU_IID_INQ_PROCEEDINGS","DUAL","T_AU_IID_INQ_PROCEEDINGS"
"PKG_INQ.P_FINALIZE_IID_INQUIRY_REPORT","PKG_INQ","P_FINALIZE_IID_INQUIRY_REPORT","T_AU_IID_COMPLAINT_HDR","","T_AU_IID_COMPLAINT_HDR"
"PKG_LG.P_GET_USER","PKG_LG","P_GET_USER","T_USER; T_CURSOR; T_USER_MAPING; V_SERVICE_EMPLOYEEINFO; T_AUDITEE_ENTITIES; T_GROUPS","T_USER; T_USER_MAPING; V_SERVICE_EMPLOYEEINFO; T_AUDITEE_ENTITIES; T_GROUPS",""
"PKG_LG.USER_SESSION","PKG_LG","USER_SESSION","T_USER_SESSION; T_AU_ACTIVITY_LOG","T_USER_SESSION; T_AU_ACTIVITY_LOG","T_USER_SESSION; T_AU_ACTIVITY_LOG"
"PKG_LG.P_GETLOGGEDINUSERENGID","PKG_LG","P_GETLOGGEDINUSERENGID","T_CURSOR; T_AU_AUDIT_JOINING","T_AU_AUDIT_JOINING",""
"PKG_LG.SESSION_END","PKG_LG","SESSION_END","T_USER_SESSION; T_AU_ACTIVITY_LOG","T_AU_ACTIVITY_LOG","T_AU_ACTIVITY_LOG; T_USER_SESSION"
"PKG_LG.SESSION_KILL","PKG_LG","SESSION_KILL","T_USER_SESSION","","T_USER_SESSION"
"PKG_LG.P_CHANGEPASSWORD","PKG_LG","P_CHANGEPASSWORD","T_USER; T_AU_ACTIVITY_LOG","T_AU_ACTIVITY_LOG","T_USER; T_AU_ACTIVITY_LOG"
"PKG_LG.P_GET_USER_SESSION","PKG_LG","P_GET_USER_SESSION","T_USER; T_CURSOR; T_USER_SESSION","T_USER_SESSION",""
"PKG_LG.P_GETTOPMENUS","PKG_LG","P_GETTOPMENUS","T_USER_GROUP_MAP; T_CURSOR; T_MENU; T_MENU_PAGES; T_MENU_PAGES_GROUPMAP","T_MENU; T_MENU_PAGES; T_MENU_PAGES_GROUPMAP",""
"PKG_LG.P_GETTOPMENUPAGES","PKG_LG","P_GETTOPMENUPAGES","T_MENU_PAGES_GROUPMAP; T_CURSOR; T_MENU_PAGES; T_MENU_SUB","T_MENU_PAGES; T_MENU_PAGES_GROUPMAP; T_MENU_SUB",""
"PKG_LG.P_GETAPIPERMISSIONS","PKG_LG","P_GETAPIPERMISSIONS","T_CURSOR; T_AU_ROLE_API_PERMISSION; T_AU_API_MASTER","T_AU_ROLE_API_PERMISSION; T_AU_API_MASTER",""
"PKG_LG.P_GETRISKPROCESSDEFINITION","PKG_LG","P_GETRISKPROCESSDEFINITION","T_CURSOR; T_AUDIT_CHECKLIST; T_ID","T_AUDIT_CHECKLIST",""
"PKG_LG.P_GET_SYS_LOGS","PKG_LG","P_GET_SYS_LOGS","T_SYS_LOG","T_SYS_LOG",""
"PKG_PG.P_GET_CRITERIA_ENT_COUNT","PKG_PG","P_GET_CRITERIA_ENT_COUNT","T_CURSOR; T_AUDIT_CRITERIA; T_AU_PERIOD; T_AUDITEE_ENTITIES; T_AUDIT_FREQUENCY","T_AUDIT_CRITERIA; T_AU_PERIOD; T_AUDITEE_ENTITIES; T_AUDIT_FREQUENCY","T_AUDIT_CRITERIA"
"PKG_PG.P_GETAUDITPERIODS","PKG_PG","P_GETAUDITPERIODS","T_CURSOR; T_AU_PERIOD; T_AU_PERIOD_STATUS","T_AU_PERIOD; T_AU_PERIOD_STATUS",""
"PKG_PG.P_GETAUDITENTITIES","PKG_PG","P_GETAUDITENTITIES","T_CURSOR; T_AUDITEE_ENT_TYPES","T_AUDITEE_ENT_TYPES",""
"PKG_PG.P_GETAUDITEEENTITIES","PKG_PG","P_GETAUDITEEENTITIES","T_CURSOR; T_AUDITEE_ENTITIES; T_AUDITEE_ENT_TYPES","T_AUDITEE_ENTITIES; T_AUDITEE_ENT_TYPES",""
"PKG_PG.P_ADDAUDITPERIOD","PKG_PG","P_ADDAUDITPERIOD","T_AU_PERIOD; T_CURSOR; T_AU_REMARKS","T_AU_PERIOD; T_AU_REMARKS","T_AU_PERIOD"
"PKG_PG.P_GET_AUDITPERIOD_STATUS","PKG_PG","P_GET_AUDITPERIOD_STATUS","T_CURSOR; T_AU_PERIOD_STATUS","T_AU_PERIOD_STATUS",""
"PKG_PG.P_UPDATE_AUDITPERIOD","PKG_PG","P_UPDATE_AUDITPERIOD","T_CURSOR; T_AU_PERIOD","DUAL","T_AU_PERIOD"
"PKG_PG.P_ADDAUDITCRITERIA","PKG_PG","P_ADDAUDITCRITERIA","T_AUDIT_CRITERIA; T_AUDIT_CRITERIA_LOG; T_CURSOR; T_AU_PERIOD; T_AUDITEE_ENTITIES; T_AUDIT_FREQUENCY; T_AU_REMARKS","T_AUDIT_CRITERIA; T_AU_PERIOD; T_AUDITEE_ENTITIES; T_AUDIT_FREQUENCY; T_AUDIT_CRITERIA_LOG; T_AU_REMARKS","T_AUDIT_CRITERIA; T_AUDIT_CRITERIA_LOG"
"PKG_PG.P_DELETEPENDINGCRITERIA","PKG_PG","P_DELETEPENDINGCRITERIA","V_F; T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA; T_AUDIT_CRITERIA_LOG","T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA; T_AUDIT_CRITERIA_LOG","T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA; T_AUDIT_CRITERIA_LOG"
"PKG_PG.P_UPDATEAUDITCRITERIA","PKG_PG","P_UPDATEAUDITCRITERIA","T_AUDIT_CRITERIA; T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA_LOG","T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA_LOG","T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA; T_AUDIT_CRITERIA_LOG"
"PKG_PG.P_SETAUDITCRITERIASTATUSREFERREDBACK","PKG_PG","P_SETAUDITCRITERIASTATUSREFERREDBACK","T_AUDIT_CRITERIA; T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA_LOG","T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA_LOG","T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA; T_AUDIT_CRITERIA_LOG"
"PKG_PG.P_SUBMITAUDITCRITERIAFORAPPROVAL","PKG_PG","P_SUBMITAUDITCRITERIAFORAPPROVAL","T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA","T_AU_ACTIVITY_LOG","T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA"
"PKG_PG.P_SETAUDITCRITERIASTATUSAPPROVE","PKG_PG","P_SETAUDITCRITERIASTATUSAPPROVE","T_AUDIT_CRITERIA; T_CURSOR; T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA_LOG","T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA_LOG; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA; T_AUDIT_CRITERIA_LOG"
"PKG_PG.P_GETPENDINGAUDITCRITERIAS","PKG_PG","P_GETPENDINGAUDITCRITERIAS","T_CURSOR; V_F; T_AU_ACTIVITY_LOG; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENT_TYPES; T_AUDIT_CRITERIA; T_AU_PERIOD; T_RISK; T_AUDIT_FREQUENCY; T_AUDITEE_ENTITIES_SIZE_DISC; T_AUDIT_CRITERIA_LOG; T_AUDITEE_ENTITIES","T_AU_ACTIVITY_LOG; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENT_TYPES; T_AUDIT_CRITERIA; T_AU_PERIOD; T_RISK; T_AUDIT_FREQUENCY; T_AUDITEE_ENTITIES_SIZE_DISC; T_AUDIT_CRITERIA_LOG; T_AUDITEE_ENTITIES","T_AU_ACTIVITY_LOG"
"PKG_PG.P_GETREFFEREDBACKAUDITCRITERIAS","PKG_PG","P_GETREFFEREDBACKAUDITCRITERIAS","T_CURSOR; T_AU_ACTIVITY_LOG; T_AUDITEE_ENTITIES; T_AUDIT_CRITERIA; T_AU_PERIOD; T_AUDITEE_ENT_TYPES; T_RISK; T_AUDIT_FREQUENCY; T_AUDITEE_ENTITIES_SIZE_DISC; T_AUDIT_CRITERIA_LOG","T_AU_ACTIVITY_LOG; T_AUDITEE_ENTITIES; T_AUDIT_CRITERIA; T_AU_PERIOD; T_AUDITEE_ENT_TYPES; T_RISK; T_AUDIT_FREQUENCY; T_AUDITEE_ENTITIES_SIZE_DISC; T_AUDIT_CRITERIA_LOG","T_AU_ACTIVITY_LOG"
"PKG_PG.P_GETAUDITCRITERIASTOAUTHORIZE","PKG_PG","P_GETAUDITCRITERIASTOAUTHORIZE","T_CURSOR; T_AU_ACTIVITY_LOG; T_AUDITEE_ENTITIES; T_AUDIT_CRITERIA; T_AU_PERIOD; T_AUDITEE_ENT_TYPES; T_RISK; T_AUDIT_FREQUENCY; T_AUDITEE_ENTITIES_SIZE_DISC; T_AUDIT_CRITERIA_LOG; T_AUDITEE_ENTITIES_MAPING","T_AU_ACTIVITY_LOG; T_AUDITEE_ENTITIES; T_AUDIT_CRITERIA; T_AU_PERIOD; T_AUDITEE_ENT_TYPES; T_RISK; T_AUDIT_FREQUENCY; T_AUDITEE_ENTITIES_SIZE_DISC; T_AUDIT_CRITERIA_LOG; T_AUDITEE_ENTITIES_MAPING","T_AU_ACTIVITY_LOG"
"PKG_PG.P_GETPOSTCHANGESAUDITCRITERIAS","PKG_PG","P_GETPOSTCHANGESAUDITCRITERIAS","T_CURSOR; T_AU_ACTIVITY_LOG; T_AUDITEE_ENTITIES; T_AUDIT_CRITERIA; T_AU_PERIOD; T_AUDITEE_ENT_TYPES; T_RISK; T_AUDIT_FREQUENCY; T_AUDITEE_ENTITIES_SIZE_DISC; T_AUDIT_CRITERIA_LOG","T_AU_ACTIVITY_LOG; T_AUDITEE_ENTITIES; T_AUDIT_CRITERIA; T_AU_PERIOD; T_AUDITEE_ENT_TYPES; T_RISK; T_AUDIT_FREQUENCY; T_AUDITEE_ENTITIES_SIZE_DISC; T_AUDIT_CRITERIA_LOG","T_AU_ACTIVITY_LOG"
"PKG_PG.P_GETAUDITEMPLOYEES","PKG_PG","P_GETAUDITEMPLOYEES","T_CURSOR; T_AUDIT_EMP; T_USER","T_AUDIT_EMP; T_USER",""
"PKG_PG.P_ADDAUDITTEAM","PKG_PG","P_ADDAUDITTEAM","T_AU_TEAM_MEMBERS; T_ID; T_CURSOR; T_P; T_AU_ACTIVITY_LOG; T_CODE; T_USER; T_AUDITEE_ENTITIES; T_USER_MAPING","T_AU_TEAM_MEMBERS; T_AU_ACTIVITY_LOG; T_USER; T_AUDITEE_ENTITIES; T_USER_MAPING; DUAL","T_AU_ACTIVITY_LOG; T_AU_TEAM_MEMBERS; T_USER_MAPING"
