"ProcedureCall","PackageName","ProcedureName","ObjectRefs","ReadObjects","WriteObjects"
"PKG_HD.P_ADDOLDPARAS","PKG_HD","P_ADDOLDPARAS","T_AU_OLD_PARAS_FAD; T_AU_OLD_PARAS_FAD_TEXT","","T_AU_OLD_PARAS_FAD; T_AU_OLD_PARAS_FAD_TEXT"
"PKG_HD.P_PPNO_PARA","PKG_HD","P_PPNO_PARA","T_CURSOR; AIS_T_AU_POST_COMPLIANCE; V_GET_PPNO_RESPONSIBILITY_LIST; T_AUDITEE_ENTITIES; T_AUDIT_CHECKLIST_ANNEXURE","AIS_T_AU_POST_COMPLIANCE; V_GET_PPNO_RESPONSIBILITY_LIST; T_AUDITEE_ENTITIES; T_AUDIT_CHECKLIST_ANNEXURE",""
"PKG_HD.P_GET_ALL_PARA_TEXT","PKG_HD","P_GET_ALL_PARA_TEXT","T_CURSOR; AIS_T_AU_POST_COMPLIANCE; T_AU_OLD_PARAS_FAD_TEXT; T_AU_OLD_PARAS_FAD; T_AU_OBSERVATION_TEXT; T_AU_OBSERVATION_OLD_CAD_PARAS_TEXT","AIS_T_AU_POST_COMPLIANCE; T_AU_OLD_PARAS_FAD_TEXT; T_AU_OLD_PARAS_FAD; T_AU_OBSERVATION_TEXT; T_AU_OBSERVATION_OLD_CAD_PARAS_TEXT",""
"PKG_HD.P_PPNO_NAME","PKG_HD","P_PPNO_NAME","T_CURSOR; V_HR_EMPLOYEE_INFO_PPNO_NDC","V_HR_EMPLOYEE_INFO_PPNO_NDC",""
"PKG_HD.P_GET_AUDIT_PRE_CONCLUDING_ENTITIES","PKG_HD","P_GET_AUDIT_PRE_CONCLUDING_ENTITIES","T_AU_PLAN_ENG; T_CURSOR; T_AUDITEE_ENTITIES","T_AU_PLAN_ENG; T_AUDITEE_ENTITIES",""
"PKG_HD.P_GET_AUDIT_PRE_CONCLUDING","PKG_HD","P_GET_AUDIT_PRE_CONCLUDING","T_CURSOR; T_AU_ACTIVITY_LOG; T_AU_PLAN_DISPLAY; T_AU_PLAN_ENG; T_AU_OBSERVATION_GIST; T_AU_OBSERVATION_FINAL_RECCOMENDATION; T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT; T_RISK; T_AU_OBSERVATION_STATUS","DUAL; T_AU_ACTIVITY_LOG; T_AU_PLAN_DISPLAY; T_AU_PLAN_ENG; T_AU_OBSERVATION_GIST; T_AU_OBSERVATION_FINAL_RECCOMENDATION; T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT; T_RISK; T_AU_OBSERVATION_STATUS","T_AU_ACTIVITY_LOG"
"PKG_HD.P_AUDIT_PRE_SUBMISSION","PKG_HD","P_AUDIT_PRE_SUBMISSION","T_AU_PLAN_ENG; T_CURSOR; T_AU_ACTIVITY_LOG; T_AU_OBSERVATION; T_AU_OBSERVATION_GIST; T_AU_PLAN_ENG_LOG","DUAL; T_AU_ACTIVITY_LOG; T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_GIST; T_AU_PLAN_ENG_LOG","T_AU_ACTIVITY_LOG; T_AU_PLAN_ENG; T_AU_PLAN_ENG_LOG"
"PKG_HD.P_GET_AUDIT_CONCLUDING_ENTITIES","PKG_HD","P_GET_AUDIT_CONCLUDING_ENTITIES","T_CURSOR; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES","T_AU_PLAN_ENG; T_AUDITEE_ENTITIES",""
"PKG_HD.P_AUDIT_CONCLUDING","PKG_HD","P_AUDIT_CONCLUDING","T_AU_PLAN_ENG; T_CURSOR; V_F; T_Y; V_COM_ID; AIS_T_AU_POST_COMPLIANCE; V_ENTITY_TYPE; V_KIP_EXIST; T_FRPT_REPORT_META; T_FRPT_KPI_SNAPSHOT; T_FRPT_NPL_SNAPSHOT; T_FRPT_STAFF_SNAPSHOT; T_AU_OBSERVATION; T_AU_REMARKS; T_AUDITEE_ENTITIES; T_AU_PERIOD; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENT_TYPES; T_AU_OBSERVATION_RESPONIBILITY_ASSIGNED; T_AU_OBSERVATION_MAN; T_AU_OBSERVATION_FAD; T_AUDIT_PARA; T_AU_AUDIT_JOINING; T_AU_AUDIT_TEAM_TASKLIST; T_AU_PLAN_ENG_LOG","DUAL; T_FRPT_REPORT_META; T_FRPT_KPI_SNAPSHOT; T_FRPT_NPL_SNAPSHOT; T_FRPT_STAFF_SNAPSHOT; T_AU_PLAN_ENG; T_AU_OBSERVATION; T_AU_REMARKS; T_AUDITEE_ENTITIES; T_AU_PERIOD; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENT_TYPES; AIS_T_AU_POST_COMPLIANCE; T_AU_OBSERVATION_MAN; T_AU_OBSERVATION_FAD; T_AUDIT_PARA; T_AU_PLAN_ENG_LOG","AIS_T_AU_POST_COMPLIANCE; T_AU_OBSERVATION_RESPONIBILITY_ASSIGNED; T_AU_OBSERVATION_MAN; T_AUDIT_PARA; T_AU_AUDIT_JOINING; T_AU_AUDIT_TEAM_TASKLIST; T_AU_PLAN_ENG; T_AU_PLAN_ENG_LOG"
"PKG_HD.P_GETAUDITENTITIESTYPE","PKG_HD","P_GETAUDITENTITIESTYPE","T_CURSOR; T_AUDITEE_ENT_TYPES; V_GET_PARENT_OFFICE","T_AUDITEE_ENT_TYPES; V_GET_PARENT_OFFICE",""
