"ProcedureCall","PackageName","Status","Methods","Modules","ReadObjects","WriteObjects","ObjectRefs","MappingFound"
"PKG_AD.P_GET_ENTITY_RISK","PKG_AD","Confirmed Active","GetAuditeeRiskForEntTypes","AD","T_AU_ENTITIES_PERIOD_RISK; V_GET_PARENT_OFFICE","","T_CURSOR; T_AU_ENTITIES_PERIOD_RISK; V_GET_PARENT_OFFICE","True"
"PKG_AD.P_GETAUDITEERISK_DETAILS","PKG_AD","Confirmed Active","GetAuditeeRiskDetails","AD","T_AU_ENTITIES_GROUP_RISK_DETAILS","","T_CURSOR; T_AU_ENTITIES_GROUP_RISK_DETAILS","True"
"PKG_AD.P_MERGE_CHECKLIST","PKG_AD","Confirmed Active","MergeDuplicateProcesses","AD","T_AUDIT_CHECKLIST; T_AUDIT_CHECKLIST_MERGER; DUAL","T_AUDIT_CHECKLIST_MERGER","T_CURSOR; T_AUDIT_CHECKLIST; T_ID; T_AUDIT_CHECKLIST_MERGER; M_CID","True"
"PKG_AD.P_MERGE_SUB_CHECKLIST","PKG_AD","Confirmed Active","MergeDuplicateSubProcesses","AD","T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_SUB_MERGER; DUAL","T_AUDIT_CHECKLIST_SUB_MERGER","T_CURSOR; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_SUB_MERGER; M_SID","True"
"PKG_AD.P_REMOVE_DUPLICATE_CHECKLIST_DETAILS","PKG_AD","Confirmed Active","MergeDuplicateChecklists","AD","","T_AUDIT_CHECKLIST_DETAIL_DUPLICATE","T_AUDIT_CHECKLIST_DETAIL_DUPLICATE","True"
"PKG_AD.P_GET_DUPLICATE_CHECKLIST_DETAILS_DROPDOWN","PKG_AD","Confirmed Active","GetAuditProcessListForMergeDuplicate","AD","T_AUDIT_CHECKLIST_DETAIL_DUPLICATE; T_AUDIT_CHECKLIST_DETAILS","","T_CURSOR; T_AUDIT_CHECKLIST_DETAIL_DUPLICATE; T_AUDIT_CHECKLIST_DETAILS","True"
"PKG_AD.P_GET_CHECKLIST_MERGER_FOR_REVIEW","PKG_AD","Confirmed Active","GetDuplicateProcesses","AD","T_AUDIT_CHECKLIST; T_AUDIT_CHECKLIST_MERGER","","T_CURSOR; T_ID; M_CID; T_AUDIT_CHECKLIST; T_AUDIT_CHECKLIST_MERGER","True"
"PKG_AD.P_GET_SUB_CHECKLIST_MERGER_FOR_REVIEW","PKG_AD","Confirmed Active","GetDuplicateSubProcesses","AD","T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_SUB_MERGER","","T_CURSOR; M_SID; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_SUB_MERGER","True"
"PKG_AD.P_GET_DUPLICATE_CHECKLIST_DETAILS","PKG_AD","Confirmed Active","GetDuplicateChecklists","AD","T_AUDIT_CHECKLIST_DETAIL_DUPLICATE; T_AUDIT_CHECKLIST_DETAILS","","T_CURSOR; T_AUDIT_CHECKLIST_DETAIL_DUPLICATE; T_AUDIT_CHECKLIST_DETAILS","True"
"PKG_AD.P_GET_DUPLICATE_CHECKLIST_DETAILS_COUNT","PKG_AD","Confirmed Active","GetDuplicateChecklistsCount","AD","T_AU_OLD_PARAS_FAD; T_AUDIT_CHECKLIST_DETAIL_DUPLICATE; T_AU_OBSERVATION; DUAL","","T_CURSOR; T_AU_OLD_PARAS_FAD; T_AUDIT_CHECKLIST_DETAIL_DUPLICATE; T_AU_OBSERVATION","True"
"PKG_AD.P_AUTHORIZE_MERGER_CHECKLIST","PKG_AD","Confirmed Active","AuthorizeMergeDuplicateProcesses","AD","DUAL","T_AUDIT_CHECKLIST_SUB","M_CID; T_CURSOR; T_AUDIT_CHECKLIST_SUB; T_ID; T_AUDIT_CHECKLIST","True"
"PKG_AD.P_AUTHORIZE_MERGER_CHECKLIST_SUB","PKG_AD","Confirmed Active","AuthorizeMergeDuplicateSubProcesses","AD","DUAL","T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_SUB_MERGER","M_SID; T_CURSOR; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_SUB_MERGER; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_SUB_CHANGE","True"
"PKG_AD.P_AUTHORIZE_DUPLICATE_CHECKLIST_DETAILS","PKG_AD","Confirmed Active","AuthorizeMergeDuplicateChecklists","AD","T_AUDIT_CHECKLIST_DETAIL_DUPLICATE; DUAL","T_AU_OLD_PARAS_FAD; T_AU_OBSERVATION; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_DETAIL_DUPLICATE","T_CURSOR; T_AU_OLD_PARAS_FAD; T_AUDIT_CHECKLIST_DETAIL_DUPLICATE; T_AU_OBSERVATION; T_AUDIT_CHECKLIST_DETAILS","True"
"PKG_AD.P_AUDIT_OBSERVATION_REVERSAL","PKG_AD","Confirmed Active","AuditEngagementObsStatusReversal; UpdateObservationStatusForReversal","AD","DUAL; T_AU_OBSERVATION; T_AU_OBSERVATION_STATUS; T_AU_OBSERVATION_ASSIGNEDTO; T_AU_OBSERVATIONS_AUDITEE_RESPONSE; T_AU_OBSERVATIONS_AUDITEE_EVIDENCES; T_AU_OBSERVATIONS_AUDITOR_RECOMMENDATION; T_AU_OBSERVATIONS_AUDITOR_REPLY","T_AU_OBSERVATION; T_AU_OBSERVATION_ASSIGNEDTO; T_AU_OBSERVATIONS_AUDITEE_RESPONSE; T_AU_OBSERVATIONS_AUDITEE_EVIDENCES; T_AU_OBSERVATIONS_AUDITOR_RECOMMENDATION; T_AU_OBSERVATION_TEXT; T_AU_OBSERVATIONS_AUDITOR_REPLY","T_CURSOR; M_F; T_AU_OBSERVATION; T_AU_OBSERVATION_STATUS; T_AU_OBSERVATION_ASSIGNEDTO; T_AU_OBSERVATIONS_AUDITEE_RESPONSE; T_AU_OBSERVATIONS_AUDITEE_EVIDENCES; T_AU_OBSERVATIONS_AUDITOR_RECOMMENDATION; T_AU_OBSERVATION_TEXT; T_AU_OBSERVATIONS_AUDITOR_REPLY","True"
"PKG_AD.P_GET_NEW_USER","PKG_AD","Confirmed Active","AdminNewUsersInAIS","AD","V_AIS_NEW_USER; V_SERVICE_EMPLOYEEINFO; T_AUDIT_EMP","","T_CURSOR; V_AIS_NEW_USER; V_SERVICE_EMPLOYEEINFO; T_AUDIT_EMP","True"
"PKG_AD.P_GET_AIS_ENTITIES","PKG_AD","Confirmed Active","GetAISEntitiesForAdminPanelEntityAddition","AD","T_AUDITEE_ENTITIES","","T_CURSOR; T_AUDITEE_ENTITIES","True"
