"ProcedureCall","PackageName","Status","Methods","Modules","ReadObjects","WriteObjects","ObjectRefs","MappingFound"
"PKG_AE.P_GETPARASFORCOMPLIANCEFORHISTORY","PKG_AE","Confirmed Active","GetOldParasComplianceCycleText","AE","AIS_T_AU_POST_COMPLIANCE_TEXT; AIS_T_AU_POST_COMPLIANCE; T_AU_OBSERVATION_FAD; T_AU_OBSERVATION_TEXT; T_AU_OLD_PARAS_FAD_TEXT; T_AU_OBSERVATION_OLD_CAD_PARAS_TEXT","","T_CURSOR; AIS_T_AU_POST_COMPLIANCE_TEXT; AIS_T_AU_POST_COMPLIANCE; T_AU_OBSERVATION_FAD; T_AU_OBSERVATION_TEXT; T_AU_OLD_PARAS_FAD_TEXT; T_AU_OBSERVATION_OLD_CAD_PARAS_TEXT","True"
"PKG_AE.P_GETPOSTAUDITCOMPLIANCE_EVIDENCE_FILEDATA","PKG_AE","Confirmed Active","GetPostComplianceEvidenceData","AE","AIS_T_AU_POST_COMPLIANCE_EVIDENCE","","T_CURSOR; AIS_T_AU_POST_COMPLIANCE_EVIDENCE","True"
"PKG_AE.P_GETPOSTAUDITCOMPLIANCE_EVIDENCE_FILEDATA_CAU","PKG_AE","Confirmed Active","GetCAUParasPostComplianceEvidenceData","AE","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","","T_CURSOR; AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","True"
"PKG_AE.P_GETAUDITEEOLDPARASFADTEXT_REF","PKG_AE","Confirmed Active","GetOldParasBranchComplianceTextRef","AE","","","","False"
"PKG_AE.P_GETAUDITEEOLDPARASFADTEXT_REVIEWER","PKG_AE","Confirmed Active","GetOldParasBranchComplianceTextForZone","AE","","","","False"
"PKG_AE.P_GETAUDITEEOLDPARASFADTEXT_REVIEWER_REF","PKG_AE","Confirmed Active","GetOldParasBranchComplianceTextForZoneRef","AE","","","","False"
"PKG_AE.P_SUBMITPOSTAUDITCOMPLIANCE","PKG_AE","Confirmed Active","SubmitPostAuditCompliance","AE","V_GET_AIS_POST_COMPLIANCE; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENTITIES_MAPING_COM; T_AU_OBSERVATION_OLD_CAD_PARAS; T_AUDITEE_ENTITIES; T_AUDITEE_ENT_TYPES; T_USER; T_USER_MAPING; T_AU_ACTIVITY_LOG; AIS_T_AU_POST_COMPLIANCE_TEXT; AIS_T_AU_POST_COMPLIANCE_HISTORY; T_GROUPS; DUAL","T_AU_ACTIVITY_LOG; AIS_T_AU_POST_COMPLIANCE; AIS_T_AU_POST_COMPLIANCE_TEXT; AIS_T_AU_POST_COMPLIANCE_HISTORY","T_CURSOR; V_GET_AIS_POST_COMPLIANCE; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENTITIES_MAPING_COM; V_F; T_AU_OBSERVATION_OLD_CAD_PARAS; T_AUDITEE_ENTITIES; T_AUDITEE_ENT_TYPES; T_USER; T_USER_MAPING; T_AU_ACTIVITY_LOG; AIS_T_AU_POST_COMPLIANCE; AIS_T_AU_POST_COMPLIANCE_TEXT; AIS_T_AU_POST_COMPLIANCE_HISTORY; T_GROUPS","True"
"PKG_AE.P_SUBMITPOSTAUDITCOMPLIANCE_EVIDENCE","PKG_AE","Confirmed Active","SubmitPostAuditCompliance","AE","AIS_T_AU_POST_COMPLIANCE_TEXT; AIS_T_AU_POST_COMPLIANCE_EVIDENCE","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE; AIS_T_AU_POST_COMPLIANCE_EVIDENCE","AIS_T_AU_POST_COMPLIANCE_TEXT; AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE; AIS_T_AU_POST_COMPLIANCE_EVIDENCE","True"
"PKG_AE.P_SUBMITPOSTAUDITCOMPLIANCE_REVIEW","PKG_AE","Confirmed Active","SubmitPostAuditComplianceReview","AE","V_GET_AIS_POST_COMPLIANCE; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING_COM; T_AU_OBSERVATION_OLD_CAD_PARAS; T_AUDITEE_ENT_TYPES; T_USER; T_USER_MAPING; T_AU_ACTIVITY_LOG; AIS_T_AU_POST_COMPLIANCE_HISTORY; T_GROUPS; DUAL","T_AU_ACTIVITY_LOG; AIS_T_AU_POST_COMPLIANCE; T_AU_OBSERVATION; T_AU_OLD_PARAS_FAD; T_AU_OBSERVATION_OLD_CAD_PARAS; AIS_T_AU_POST_COMPLIANCE_HISTORY","T_CURSOR; V_GET_AIS_POST_COMPLIANCE; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING_COM; T_AU_OBSERVATION_OLD_CAD_PARAS; T_AUDITEE_ENT_TYPES; T_USER; T_USER_MAPING; T_AU_ACTIVITY_LOG; AIS_T_AU_POST_COMPLIANCE; T_AU_OBSERVATION; T_AU_OLD_PARAS_FAD; AIS_T_AU_POST_COMPLIANCE_HISTORY; T_GROUPS","True"
"PKG_AE.P_GETOLDPARASFORREVIEWER","PKG_AE","Confirmed Active","GetOldParasForReviewer","AE","","","","False"
"PKG_AE.P_GETOLDPARASFORREVIEWER_REF","PKG_AE","Confirmed Active","GetOldParasForReviewerRef","AE","","","","False"
"PKG_AE.P_ADDOLDPARASREVIEWER","PKG_AE","Confirmed Active","AddOldParasComplianceReviewer","AE","","","","False"
"PKG_AE.P_ADDOLDPARASREPLY","PKG_AE","Confirmed Active","AddOldParasReply","AE","","","","False"
"PKG_AE.P_GETAUDITEEALLPARASFAD","PKG_AE","Confirmed Active","GetOldParasBranchComplianceTextupdate","AE","T_AU_ACTIVITY_LOG; T_AU_OLD_PARAS_FAD; T_AUDITEE_ENTITIES; V_GET_P_GETAUDITEEOLDPARASFAD_REF","T_AU_ACTIVITY_LOG","T_CURSOR; T_AU_ACTIVITY_LOG; T_AU_OLD_PARAS_FAD; T_AUDITEE_ENTITIES; V_GET_P_GETAUDITEEOLDPARASFAD_REF","True"
"PKG_AE.P_GET_V_AUDITEE_PARAS_COMPLIANCE_HISTORY_AUDITEE_TEXT","PKG_AE","Confirmed Active","GetComplianceTextAuditee","AE","","","","False"
"PKG_AE.P_GET_V_AUDITEE_PARAS_COMPLIANCE_HISTORY_NUM_AUDITEE","PKG_AE","Low-Confidence / Needs Verification","GetComplianceHistoryCountAuditee","AE","","","","False"
"PKG_AE.P_GETPARASFORCOMPLIANCEHISTORY","PKG_AE","Confirmed Active","GetComplianceHistory","AE","AIS_T_AU_POST_COMPLIANCE_HISTORY; V_SERVICE_EMPLOYEEINFO","","T_CURSOR; AIS_T_AU_POST_COMPLIANCE_HISTORY; V_SERVICE_EMPLOYEEINFO","True"
"PKG_AE.P_GETPARASFORCOMPLIANCEBYCAU","PKG_AE","Confirmed Active","GetCAUParasForPostCompliance","AE","AIS_T_AU_POST_COMPLIANCE; T_AUDITEE_ENTITIES_MAPING","","T_CURSOR; AIS_T_AU_POST_COMPLIANCE; T_AUDITEE_ENTITIES_MAPING","True"
"PKG_AE.P_GETREALTIONSHIPTYPEFORCAU","PKG_AE","Confirmed Active","GetrealtionshiptypeForCAU","AE","T_AUDITEE_ENT_RELATION","","T_CURSOR; T_AUDITEE_ENT_RELATION","True"
"PKG_AE.P_GETPARENTREPOFFICEFORCAU","PKG_AE","Confirmed Active","GetParentRelationshipForCAU","AE","T_AUDITEE_ENTITIES; T_AUDITEE_ENT_RELATION","","T_CURSOR; T_AUDITEE_ENTITIES; T_AUDITEE_ENT_RELATION; T_AUDITEE_ENT_TYPES; V_GET_PARENT_OFFICE","True"
"PKG_AE.P_GETCHILDPOSTINGFORCAU","PKG_AE","Confirmed Active","GetChildRelationshipForCAU","AE","V_GET_PARENT_OFFICE; T_AUDITEE_ENT_TYPES","","T_CURSOR; V_GET_PARENT_OFFICE; T_AUDITEE_ENT_TYPES","True"
"PKG_AE.P_FORWARD_CAU_PARA_TO_BRANCH","PKG_AE","Confirmed Active","SubmitCAUParaToBranch","AE","T_AUDITEE_ENTITIES; T_USER; T_USER_MAPING; T_AU_ACTIVITY_LOG; AIS_T_AU_POST_COMPLIANCE_TEXT_CAU; DUAL","T_AU_ACTIVITY_LOG; AIS_T_AU_POST_COMPLIANCE; AIS_T_AU_POST_COMPLIANCE_TEXT_CAU","T_CURSOR; T_F; T_AUDITEE_ENTITIES; T_USER; T_USER_MAPING; T_AU_ACTIVITY_LOG; AIS_T_AU_POST_COMPLIANCE; AIS_T_AU_POST_COMPLIANCE_TEXT_CAU","True"
"PKG_AE.P_GETPARASFORCOMPLIANCE_CAU_PARA_TEXT","PKG_AE","Confirmed Active","GetCAUParaToBranchParaText","AE","AIS_T_AU_POST_COMPLIANCE; AIS_T_AU_POST_COMPLIANCE_TEXT_CAU; T_AU_OLD_PARAS_FAD; T_AU_OLD_PARAS_FAD_TEXT; T_AU_OBSERVATION_TEXT","","T_CURSOR; AIS_T_AU_POST_COMPLIANCE; AIS_T_AU_POST_COMPLIANCE_TEXT_CAU; T_AU_OLD_PARAS_FAD; T_AU_OLD_PARAS_FAD_TEXT; T_AU_OBSERVATION_TEXT","True"
"PKG_AE.P_GETPARASFORCOMPLIANCEBYCAU_BY_BRANCH","PKG_AE","Confirmed Active","GetCAUParasForPostComplianceSubmittedToBranch","AE","AIS_T_AU_POST_COMPLIANCE; T_AUDITEE_ENTITIES; AIS_T_AU_POST_COMPLIANCE_TEXT_CAU","","T_CURSOR; AIS_T_AU_POST_COMPLIANCE; T_AUDITEE_ENTITIES; AIS_T_AU_POST_COMPLIANCE_TEXT_CAU","True"
"PKG_AE.P_SUBMITPOSTAUDITCOMPLIANCE_BY_BRANCH","PKG_AE","Confirmed Active","SubmitCAUParaByBranch","AE","T_USER; T_USER_MAPING; T_AU_ACTIVITY_LOG; DUAL","T_AU_ACTIVITY_LOG; AIS_T_AU_POST_COMPLIANCE; AIS_T_AU_POST_COMPLIANCE_TEXT_CAU","T_ID; T_CURSOR; T_USER; T_USER_MAPING; T_AU_ACTIVITY_LOG; AIS_T_AU_POST_COMPLIANCE; AIS_T_AU_POST_COMPLIANCE_TEXT_CAU","True"
"PKG_AE.P_SUBMITPOSTAUDITCOMPLIANCE_EVIDENCE_BY_BRANCH","PKG_AE","Confirmed Active","SubmitCAUParaByBranch","AE","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU; AIS_T_AU_POST_COMPLIANCE_TEXT","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU; AIS_T_AU_POST_COMPLIANCE_TEXT","True"
"PKG_AE.P_GETPARASFORCOMPLIANCEBYCAU_FOR_REVIEW","PKG_AE","Confirmed Active","GetCAUParasForPostComplianceForReview","AE","AIS_T_AU_POST_COMPLIANCE","","T_CURSOR; AIS_T_AU_POST_COMPLIANCE","True"
"PKG_AE.P_GETALLCOMPLIANCE_EVIDENCE_CAU","PKG_AE","Confirmed Active","GetCAUAllComplianceEvidence","AE","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","","T_CURSOR; AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","True"
"PKG_AR.P_GET_AUDITEE_SUBMISSION_LIST","PKG_AR","Confirmed Active","GetAuditEntitiesForOtherEntitySelection","AR","T_AUDITEE_ENTITIES","","T_CURSOR; T_AUDITEE_ENTITIES","True"
"PKG_AR.P_GETRISKGROUP","PKG_AR","Confirmed Active","GetRiskGroup","AR","T_R_GROUP","","T_CURSOR; T_R_GROUP","True"
"PKG_AR.P_GETRISKSUBGROUP","PKG_AR","Confirmed Active","GetRiskSubGroup","AR","T_R_SUB_GROUP; T_R_GROUP","","T_CURSOR; T_R_SUB_GROUP; T_R_GROUP","True"
"PKG_AR.P_GETRISKACTIVITIES","PKG_AR","Confirmed Active","GetRiskActivities","AR","T_R_ACTIVITY; T_R_SUB_GROUP","","T_CURSOR; T_R_ACTIVITY; T_R_SUB_GROUP","True"
"PKG_AR.P_GETAUDITVOILATIONCATS","PKG_AR","Confirmed Active","GetAuditVoilationcats","AR","T_CONTROL_VIOLATION","","T_CURSOR; T_CONTROL_VIOLATION","True"
"PKG_AR.P_GETVOILATIONSUBGROUP","PKG_AR","Confirmed Active","GetVoilationSubGroup","AR","T_CONTROL_VIOLATION; T_CONTROL_VIOLATION_SUB","","T_CURSOR; T_CONTROL_VIOLATION; T_CONTROL_VIOLATION_SUB; V_ID","True"
"PKG_AR.P_GETTASKLIST","PKG_AR","Confirmed Active","GetTaskList","AR","T_AU_AUDIT_TEAM_TASKLIST; T_AU_AUDIT_TEAMS; T_AU_AUDIT_TEAM_TASKLIST_STATUS; T_AU_TEAM_MEMBERS; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES; T_AUDITEE_ENT_TYPES; T_AU_AUDIT_JOINING; T_AU_PERIOD; T_AUDITEE_ENTITIES_MAPING","","T_CURSOR; T_NAME; T_AU_AUDIT_TEAM_TASKLIST; T_AU_AUDIT_TEAMS; T_AU_AUDIT_TEAM_TASKLIST_STATUS; T_AU_TEAM_MEMBERS; T_ID; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES; T_AUDITEE_ENT_TYPES; T_AU_AUDIT_JOINING; T_AU_PERIOD; T_AUDITEE_ENTITIES_MAPING","True"
"PKG_AR.P_GETJOININGDETAILS","PKG_AR","Confirmed Active","GetJoiningDetails","AR","T_AU_AUDIT_TEAM_TASKLIST; T_AU_PLAN_ENG; T_AU_PLAN; T_AUDITEE_ENTITIES; T_AU_PERIOD; T_AU_TEAM_MEMBERS; T_AU_AUDIT_TEAMS; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC","","T_CURSOR; T_AU_AUDIT_TEAM_TASKLIST; T_AU_PLAN_ENG; T_AU_PLAN; T_AUDITEE_ENTITIES; T_AU_PERIOD; T_AU_TEAM_MEMBERS; T_AU_AUDIT_TEAMS; T_ID; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC","True"
"PKG_AR.P_ADDJOININGREPORT","PKG_AR","Confirmed Active","AddJoiningReport","AR","T_AU_PLAN_ENG; T_AU_AUDIT_TEAMS; T_AU_TEAM_MEMBERS; T_AU_AUDIT_TEAM_TASKLIST; T_AU_ACTIVITY_LOG; DUAL; T_AUDITEE_ENTITIES; T_AU_AUDIT_JOINING","T_AU_ACTIVITY_LOG; JOINING; T_AU_AUDIT_JOINING; T_AU_AUDIT_TEAM_TASKLIST; AUDITEE; T_AUDITEE_ENTITIES","T_CURSOR; V_AUD_ENT_ID; V_IS_TEAMLEAD; V_PREV_LOG_ID; V_NEW_LOG_ID; V_JOINING_ID; V_ENTITY_TYPE; V_PLAN_ENDDATE; V_PENDING_CNT; V_EXISTING_JOIN; V_IS_SPECIAL_TYPE; V_NEXT_STATUS; V_EMAIL_TO; V_EMAIL_CC; V_AUDITEE_NAME; V_TEAM_LEAD_LINE; V_TEAM_MEMBERS; V_TEAM_ID; V_TEAM_COUNT; V_REMARKS; V_EMAIL_FLAG; V_TO_EMAIL; V_CC_EMAIL; V_OUT_NAME; V_TEAM; V_TEAM_LEAD; V_TEAM_MEMBERSO; V_ERRMSG; T_AU_PLAN_ENG; T_AU_AUDIT_TEAMS; T_AU_TEAM_MEMBERS; T_ID; T_AU_AUDIT_TEAM_TASKLIST; T_AU_ACTIVITY_LOG; T_AUDITEE_ENTITIES; T_AU_AUDIT_JOINING","True"
"PKG_AR.P_GETAUDITCHECKLIST","PKG_AR","Confirmed Active","GetAuditChecklist","AR","T_AUDIT_CHECKLIST; T_AUDITEE_ENT_TYPES","","T_CURSOR; T_AUDIT_CHECKLIST; T_AUDITEE_ENT_TYPES; T_ID","True"
"PKG_AR.P_GETAUDITCHECKLISTCAD","PKG_AR","Confirmed Active","GetAuditChecklistCAD","AR","T_AUDIT_CHECKLIST","","T_CURSOR; T_AUDIT_CHECKLIST; T_ID","True"
"PKG_AR.P_GETAUDITCHECKLISTSUB","PKG_AR","Confirmed Active","GetAuditChecklistSub","AR","T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_AUDITEE_ENT_TYPES","","T_CURSOR; T_NAME; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_ID; T_AUDITEE_ENT_TYPES","True"
"PKG_AR.P_GETAUDITCHECKLISTDETAILS","PKG_AR","Confirmed Active","GetAuditChecklistDetails","AR","T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_R_SUB_GROUP; T_RISK","","T_CURSOR; V_NAME; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_R_SUB_GROUP; V_ID; T_RISK","True"
"PKG_AR.P_SAVEAUDITOBSERVATION","PKG_AR","Confirmed Active","SaveAuditObservation","AR","T_AU_OBSERVATION; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AU_PLAN_ENG; T_AUDITEE_ENT_TYPES; T_AU_ACTIVITY_LOG; T_AU_OBSERVATION_TEXT; T_AU_REMARKS","T_AU_ACTIVITY_LOG; T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT; T_AUDITEE_CHECKKLIST","T_AU_OBSERVATION; V_CAT_ID; V_CAT_NATURE_ID; T_AU_OBSERVATION_TEXT; T_CURSOR; T_AUDIT_CHECKLIST_DETAILS; T_ID; T_AUDIT_CHECKLIST_SUB; T_AU_PLAN_ENG; T_AUDITEE_ENT_TYPES; T_AU_ACTIVITY_LOG; T_AUDITEE_CHECKKLIST; T_AU_REMARKS","True"
"PKG_AR.P_RESPONIBILITYASSIGNED","PKG_AR","Confirmed Active","AddInitialResponsibilityAssignment; SaveAuditObservation; SaveAuditObservationCAU","AR","T_AU_OBSERVATION_RESPONIBILITY_ASSIGNED; DUAL","T_AU_OBSERVATION_RESPONIBILITY_ASSIGNED; T_AU_RESPONSIBILITY_LOG","T_CURSOR; V_NEW_ID; V_ERR_MSG; T_AU_OBSERVATION_RESPONIBILITY_ASSIGNED; T_AU_RESPONSIBILITY_LOG","True"
"PKG_AR.P_SAVEAUDITOBSERVATIONCAD","PKG_AR","Confirmed Active","SaveAuditObservationCAU","AR","T_AU_OBSERVATION; T_AU_ACTIVITY_LOG; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AU_OBSERVATION_TEXT; T_AU_REMARKS","T_AU_ACTIVITY_LOG; T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT","T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT; T_CURSOR; V_F; M_F; T_F; T_AU_ACTIVITY_LOG; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES; T_AUDIT_CHECKLIST_DETAILS; T_ID; T_AUDIT_CHECKLIST_SUB; V_CAT_ID; V_CAT_NATURE_ID; T_AU_REMARKS","True"
"PKG_AR.P_SETENGIDONHOLD","PKG_AR","Likely Active","SetEngIdOnHold","AR","","T_AU_AUDIT_JOINING; T_AU_PLAN_ENG","T_AU_AUDIT_JOINING; T_AU_PLAN_ENG","True"
"PKG_AR.P_GETLATESTAUDITORRESPONSE","PKG_AR","Likely Active","GetLatestAuditorResponse","AR","T_AU_OBSERVATIONS_AUDITOR_RECOMMENDATION","","T_CURSOR; T_AU_OBSERVATIONS_AUDITOR_RECOMMENDATION","True"
"PKG_AR.P_GETLATESTDEPARTMENTALHEADRESPONSE","PKG_AR","Likely Active","GetLatestDepartmentalHeadResponse","AR","T_AU_OBSERVATIONS_AUDITOR_REPLY","","T_CURSOR; T_AU_OBSERVATIONS_AUDITOR_REPLY","True"
"PKG_AR.P_GETLATESTAUDITEERESPONSE","PKG_AR","Confirmed Active","GetLatestAuditeeResponse","AR","T_AU_OBSERVATIONS_AUDITEE_RESPONSE","","T_CURSOR; T_AU_OBSERVATIONS_AUDITEE_RESPONSE","True"
"PKG_AR.P_GET_DETAILS_FOR_MANAGE_OBSERVATIONS_SUMMARY","PKG_AR","Confirmed Active","GetManagedObservationsSummaryForSelectedEntity","AR","V_GET_P_GET_DETAILS_FOR_MANAGE_OBSERVATIONS_SUMMARY","","T_CURSOR; V_GET_P_GET_DETAILS_FOR_MANAGE_OBSERVATIONS_SUMMARY","True"
"PKG_AR.P_GET_DETAILS_FOR_MANAGE_OBSERVATIONS","PKG_AR","Confirmed Active","GetManagedObservationsForSelectedEntity","AR","T_AU_PLAN_ENG; T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENT_TYPES; T_AUDITEE_ENTITIES; T_AU_OBSERVATION_STATUS","","T_CURSOR; T_IND; T_AU_PLAN_ENG; T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENT_TYPES; T_AUDITEE_ENTITIES; T_AU_OBSERVATION_STATUS","True"
"PKG_AR.P_UPDATE_AUDIT_PARAS","PKG_AR","Confirmed Active","UpdateAuditObservationStatus","AR","DUAL","T_AU_OBSERVATION_UPDATED_REFERENCE","T_CURSOR; T_AU_OBSERVATION_UPDATED_REFERENCE","True"
"PKG_AR.P_AUTHORIZE_UPDATE_AUDIT_PARAS","PKG_AR","Confirmed Active","AuthorizedAuditObservationStatus; ReferredBackAuditObservationStatus","AR","","","T_CURSOR","True"
"PKG_AR.P_GETMANAGEDOBSERVATIONS","PKG_AR","Confirmed Active","GetManagedObservations","AR","T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES; T_CONTROL_VIOLATION; T_CONTROL_VIOLATION_SUB; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AU_OBSERVATION_TEXT","","T_CURSOR; V_NAME; T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES; T_CONTROL_VIOLATION; V_CAT_ID; T_CONTROL_VIOLATION_SUB; V_CAT_NATURE_ID; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AU_OBSERVATION_TEXT","True"
"PKG_AR.P_GETMANAGEDOBSERVATIONSTEXT","PKG_AR","Confirmed Active","GetManagedObservationText; GetManagedObservationTextForBranches","AR","T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_CONTROL_VIOLATION; T_CONTROL_VIOLATION_SUB; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD","","T_CURSOR; V_NAME; T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_CONTROL_VIOLATION; V_CAT_ID; T_CONTROL_VIOLATION_SUB; V_CAT_NATURE_ID; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD","True"
"PKG_AR.P_GET_AUDITEE_OBSERVATION_RESPONSE_EVIDENCES_BY_OBS_ID","PKG_AR","Confirmed Active","GetRespondedObservationEvidences","AR","T_AU_OBSERVATIONS_AUDITEE_EVIDENCES; T_AU_OBSERVATION_TEXT","","T_AU_OBSERVATION; T_CURSOR; T_AU_OBSERVATIONS_AUDITEE_EVIDENCES; T_AU_OBSERVATION_TEXT","True"
"PKG_AR.P_GET_DETAILS_FOR_MANAGE_OBSERVATIONS_TEXT","PKG_AR","Confirmed Active","GetManagedAllObservationsText","AR","V_PARA_TEXT_FIELD_AIS; V_PARA_TEXT_DEPARTMENT_AIS","","T_CURSOR; V_PARA_TEXT_FIELD_AIS; V_PARA_TEXT_DEPARTMENT_AIS","True"
"PKG_AR.P_GETMANAGEDOBSERVATIONSFORBRANCHES","PKG_AR","Confirmed Active","GetManagedObservationsForBranches","AR","T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AU_OBSERVATION_TEXT; T_AUDIT_CHECKLIST_ANNEXURE; T_RISK","","T_CURSOR; T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AU_OBSERVATION_TEXT; T_AUDIT_CHECKLIST_ANNEXURE; T_RISK","True"
"PKG_AR.P_GETMANAGEDOBSERVATIONSFORBRANCHESTEXT","PKG_AR","Confirmed Active","GetManagedObservationTextForBranches","AR","T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST","","T_CURSOR; T_ID; T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST","True"
"PKG_AR.P_GETMANAGEDDRAFTOBSERVATIONS","PKG_AR","Confirmed Active","GetManagedDraftObservations","AR","T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENTITIES; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_AU_OBSERVATIONS_AUDITOR_RESPONSE; T_CONTROL_VIOLATION; T_CONTROL_VIOLATION_SUB","","T_CURSOR; M_F; T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENTITIES; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_ID; T_AU_OBSERVATIONS_AUDITOR_RESPONSE; V_NAME; T_CONTROL_VIOLATION; V_CAT_ID; T_CONTROL_VIOLATION_SUB; V_CAT_NATURE_ID","True"
"PKG_AR.P_GETMANAGEDDRAFTOBSERVATIONSFORBRANCHES","PKG_AR","Confirmed Active","GetManagedDraftObservationsBranch; GetManagedDraftObservationsForBranches","AR","T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENTITIES; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AU_OBSERVATIONS_AUDITOR_RESPONSE","","T_CURSOR; T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENTITIES; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_ID; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AU_OBSERVATIONS_AUDITOR_RESPONSE","True"
"PKG_AR.P_GETMANAGEDDRAFTOBSERVATIONSBRANCH","PKG_AR","Confirmed Active","GetEntityReportParasForBranch","AR","T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENTITIES; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_AU_OBSERVATIONS_AUDITOR_RESPONSE","","T_CURSOR; M_F; T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENTITIES; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_ID; T_AU_OBSERVATIONS_AUDITOR_RESPONSE","True"
