"TableName","ColumnName","DataType","IsNotNull","HasDefault","RawLine"
"tbl_entity_relation","child_entity_id","NUMBER","True","False","child_entity_id        NUMBER        NOT NULL"
"tbl_entity_relation","relation_type_id","NUMBER","True","False","relation_type_id       NUMBER        NOT NULL"
"tbl_entity_relation","effective_from","DATE","True","True","effective_from         DATE          DEFAULT TRUNC(SYSDATE) NOT NULL"
"tbl_entity_relation","effective_to","DATE","False","False","effective_to           DATE"
"tbl_entity_relation","is_active","CHAR(1)","True","True","is_active              CHAR(1)       DEFAULT 'Y' NOT NULL"
"tbl_entity_relation","created_by","NUMBER","False","False","created_by             NUMBER"
"tbl_entity_relation","created_on","DATE","True","True","created_on             DATE          DEFAULT SYSDATE NOT NULL"
"tbl_entity_relation","modified_by","NUMBER","False","False","modified_by            NUMBER"
"tbl_entity_relation","modified_on","DATE","False","False","modified_on            DATE"
"tbl_entity_relation","record_version","NUMBER","True","True","record_version         NUMBER        DEFAULT 1 NOT NULL"
"tbl_reference_document","reference_document_id","NUMBER","True","False","reference_document_id  NUMBER         NOT NULL"
"tbl_reference_document","reference_type_id","NUMBER","True","False","reference_type_id      NUMBER         NOT NULL"
"tbl_reference_document","document_code","VARCHAR2(50)","True","False","document_code          VARCHAR2(50)   NOT NULL"
"tbl_reference_document","document_title","VARCHAR2(500)","True","False","document_title         VARCHAR2(500)  NOT NULL"
"tbl_reference_document","issuing_authority","VARCHAR2(200)","False","False","issuing_authority      VARCHAR2(200)"
"tbl_reference_document","issue_date","DATE","False","False","issue_date             DATE"
"tbl_reference_document","effective_date","DATE","False","False","effective_date         DATE"
"tbl_reference_document","expiry_date","DATE","False","False","expiry_date            DATE"
"tbl_reference_document","source_url","VARCHAR2(1000)","False","False","source_url             VARCHAR2(1000)"
"tbl_reference_document","current_version_no","NUMBER","True","True","current_version_no     NUMBER         DEFAULT 1 NOT NULL"
"tbl_reference_document","is_active","CHAR(1)","True","True","is_active              CHAR(1)        DEFAULT 'Y' NOT NULL"
"tbl_reference_document","created_by","NUMBER","False","False","created_by             NUMBER"
"tbl_reference_document","created_on","DATE","True","True","created_on             DATE           DEFAULT SYSDATE NOT NULL"
"tbl_reference_document","modified_by","NUMBER","False","False","modified_by            NUMBER"
"tbl_reference_document","modified_on","DATE","False","False","modified_on            DATE"
"tbl_reference_document","record_version","NUMBER","True","True","record_version         NUMBER         DEFAULT 1 NOT NULL"
"tbl_reference_document_version","reference_document_version_id","NUMBER","True","False","reference_document_version_id NUMBER        NOT NULL"
"tbl_reference_document_version","reference_document_id","NUMBER","True","False","reference_document_id         NUMBER        NOT NULL"
"tbl_reference_document_version","version_no","NUMBER","True","False","version_no                    NUMBER        NOT NULL"
"tbl_reference_document_version","version_label","VARCHAR2(100)","False","False","version_label                 VARCHAR2(100)"
"tbl_reference_document_version","document_text","CLOB","False","False","document_text                 CLOB"
"tbl_reference_document_version","storage_reference","VARCHAR2(500)","False","False","storage_reference             VARCHAR2(500)"
"tbl_reference_document_version","superseded_on","DATE","False","False","superseded_on                 DATE"
"tbl_reference_document_version","is_current_version","CHAR(1)","True","True","is_current_version            CHAR(1)       DEFAULT 'Y' NOT NULL"
"tbl_reference_document_version","is_active","CHAR(1)","True","True","is_active                     CHAR(1)       DEFAULT 'Y' NOT NULL"
"tbl_reference_document_version","created_by","NUMBER","False","False","created_by                    NUMBER"
"tbl_reference_document_version","created_on","DATE","True","True","created_on                    DATE          DEFAULT SYSDATE NOT NULL"
"tbl_reference_document_version","modified_by","NUMBER","False","False","modified_by                   NUMBER"
"tbl_reference_document_version","modified_on","DATE","False","False","modified_on                   DATE"
"tbl_reference_document_version","record_version","NUMBER","True","True","record_version                NUMBER        DEFAULT 1 NOT NULL"
"tbl_checklist_section","entity_type_id","NUMBER","False","False","entity_type_id         NUMBER"
"tbl_checklist_section","section_code","VARCHAR2(50)","True","False","section_code           VARCHAR2(50)   NOT NULL"
"tbl_checklist_section","section_name","VARCHAR2(200)","True","False","section_name           VARCHAR2(200)  NOT NULL"
"tbl_checklist_section","section_description","VARCHAR2(500)","False","False","section_description    VARCHAR2(500)"
"tbl_checklist_section","sort_order","NUMBER","True","True","sort_order             NUMBER         DEFAULT 0 NOT NULL"
"tbl_checklist_section","is_active","CHAR(1)","True","True","is_active              CHAR(1)        DEFAULT 'Y' NOT NULL"
