"PackageName","ProcedureCall","Status","Modules","Methods","ReadObjects","WriteObjects","ObjectRefs","MappingFound","RecommendedTreatment"
"PKG_AR","PKG_AR.P_ADDJOININGREPORT","Confirmed Active","AR","AddJoiningReport","T_AU_PLAN_ENG; T_AU_AUDIT_TEAMS; T_AU_TEAM_MEMBERS; T_AU_AUDIT_TEAM_TASKLIST; T_AU_ACTIVITY_LOG; DUAL; T_AUDITEE_ENTITIES; T_AU_AUDIT_JOINING","T_AU_ACTIVITY_LOG; JOINING; T_AU_AUDIT_JOINING; T_AU_AUDIT_TEAM_TASKLIST; AUDITEE; T_AUDITEE_ENTITIES","T_CURSOR; V_AUD_ENT_ID; V_IS_TEAMLEAD; V_PREV_LOG_ID; V_NEW_LOG_ID; V_JOINING_ID; V_ENTITY_TYPE; V_PLAN_ENDDATE; V_PENDING_CNT; V_EXISTING_JOIN; V_IS_SPECIAL_TYPE; V_NEXT_STATUS; V_EMAIL_TO; V_EMAIL_CC; V_AUDITEE_NAME; V_TEAM_LEAD_LINE; V_TEAM_MEMBERS; V_TEAM_ID; V_TEAM_COUNT; V_REMARKS; V_EMAIL_FLAG; V_TO_EMAIL; V_CC_EMAIL; V_OUT_NAME; V_TEAM; V_TEAM_LEAD; V_TEAM_MEMBERSO; V_ERRMSG; T_AU_PLAN_ENG; T_AU_AUDIT_TEAMS; T_AU_TEAM_MEMBERS; T_ID; T_AU_AUDIT_TEAM_TASKLIST; T_AU_ACTIVITY_LOG; T_AUDITEE_ENTITIES; T_AU_AUDIT_JOINING","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_GETAUDITCHECKLIST","Confirmed Active","AR","GetAuditChecklist","T_AUDIT_CHECKLIST; T_AUDITEE_ENT_TYPES","","T_CURSOR; T_AUDIT_CHECKLIST; T_AUDITEE_ENT_TYPES; T_ID","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_GETAUDITCHECKLISTCAD","Confirmed Active","AR","GetAuditChecklistCAD","T_AUDIT_CHECKLIST","","T_CURSOR; T_AUDIT_CHECKLIST; T_ID","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_GETAUDITCHECKLISTSUB","Confirmed Active","AR","GetAuditChecklistSub","T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_AUDITEE_ENT_TYPES","","T_CURSOR; T_NAME; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_ID; T_AUDITEE_ENT_TYPES","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_GETAUDITCHECKLISTDETAILS","Confirmed Active","AR","GetAuditChecklistDetails","T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_R_SUB_GROUP; T_RISK","","T_CURSOR; V_NAME; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_R_SUB_GROUP; V_ID; T_RISK","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_SAVEAUDITOBSERVATION","Confirmed Active","AR","SaveAuditObservation","T_AU_OBSERVATION; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AU_PLAN_ENG; T_AUDITEE_ENT_TYPES; T_AU_ACTIVITY_LOG; T_AU_OBSERVATION_TEXT; T_AU_REMARKS","T_AU_ACTIVITY_LOG; T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT; T_AUDITEE_CHECKKLIST","T_AU_OBSERVATION; V_CAT_ID; V_CAT_NATURE_ID; T_AU_OBSERVATION_TEXT; T_CURSOR; T_AUDIT_CHECKLIST_DETAILS; T_ID; T_AUDIT_CHECKLIST_SUB; T_AU_PLAN_ENG; T_AUDITEE_ENT_TYPES; T_AU_ACTIVITY_LOG; T_AUDITEE_CHECKKLIST; T_AU_REMARKS","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_RESPONIBILITYASSIGNED","Confirmed Active","AR","AddInitialResponsibilityAssignment; SaveAuditObservation; SaveAuditObservationCAU","T_AU_OBSERVATION_RESPONIBILITY_ASSIGNED; DUAL","T_AU_OBSERVATION_RESPONIBILITY_ASSIGNED; T_AU_RESPONSIBILITY_LOG","T_CURSOR; V_NEW_ID; V_ERR_MSG; T_AU_OBSERVATION_RESPONIBILITY_ASSIGNED; T_AU_RESPONSIBILITY_LOG","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_SAVEAUDITOBSERVATIONCAD","Confirmed Active","AR","SaveAuditObservationCAU","T_AU_OBSERVATION; T_AU_ACTIVITY_LOG; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AU_OBSERVATION_TEXT; T_AU_REMARKS","T_AU_ACTIVITY_LOG; T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT","T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT; T_CURSOR; V_F; M_F; T_F; T_AU_ACTIVITY_LOG; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES; T_AUDIT_CHECKLIST_DETAILS; T_ID; T_AUDIT_CHECKLIST_SUB; V_CAT_ID; V_CAT_NATURE_ID; T_AU_REMARKS","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_SETENGIDONHOLD","Likely Active","AR","SetEngIdOnHold","","T_AU_AUDIT_JOINING; T_AU_PLAN_ENG","T_AU_AUDIT_JOINING; T_AU_PLAN_ENG","True","Validate before DDL freeze"
"PKG_AR","PKG_AR.P_GETLATESTAUDITORRESPONSE","Likely Active","AR","GetLatestAuditorResponse","T_AU_OBSERVATIONS_AUDITOR_RECOMMENDATION","","T_CURSOR; T_AU_OBSERVATIONS_AUDITOR_RECOMMENDATION","True","Validate before DDL freeze"
"PKG_AR","PKG_AR.P_GETLATESTDEPARTMENTALHEADRESPONSE","Likely Active","AR","GetLatestDepartmentalHeadResponse","T_AU_OBSERVATIONS_AUDITOR_REPLY","","T_CURSOR; T_AU_OBSERVATIONS_AUDITOR_REPLY","True","Validate before DDL freeze"
"PKG_AR","PKG_AR.P_GETLATESTAUDITEERESPONSE","Confirmed Active","AR","GetLatestAuditeeResponse","T_AU_OBSERVATIONS_AUDITEE_RESPONSE","","T_CURSOR; T_AU_OBSERVATIONS_AUDITEE_RESPONSE","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_GET_DETAILS_FOR_MANAGE_OBSERVATIONS_SUMMARY","Confirmed Active","AR","GetManagedObservationsSummaryForSelectedEntity","V_GET_P_GET_DETAILS_FOR_MANAGE_OBSERVATIONS_SUMMARY","","T_CURSOR; V_GET_P_GET_DETAILS_FOR_MANAGE_OBSERVATIONS_SUMMARY","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_GET_DETAILS_FOR_MANAGE_OBSERVATIONS","Confirmed Active","AR","GetManagedObservationsForSelectedEntity","T_AU_PLAN_ENG; T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENT_TYPES; T_AUDITEE_ENTITIES; T_AU_OBSERVATION_STATUS","","T_CURSOR; T_IND; T_AU_PLAN_ENG; T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENT_TYPES; T_AUDITEE_ENTITIES; T_AU_OBSERVATION_STATUS","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_UPDATE_AUDIT_PARAS","Confirmed Active","AR","UpdateAuditObservationStatus","DUAL","T_AU_OBSERVATION_UPDATED_REFERENCE","T_CURSOR; T_AU_OBSERVATION_UPDATED_REFERENCE","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_AUTHORIZE_UPDATE_AUDIT_PARAS","Confirmed Active","AR","AuthorizedAuditObservationStatus; ReferredBackAuditObservationStatus","","","T_CURSOR","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_GETMANAGEDOBSERVATIONS","Confirmed Active","AR","GetManagedObservations","T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES; T_CONTROL_VIOLATION; T_CONTROL_VIOLATION_SUB; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AU_OBSERVATION_TEXT","","T_CURSOR; V_NAME; T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES; T_CONTROL_VIOLATION; V_CAT_ID; T_CONTROL_VIOLATION_SUB; V_CAT_NATURE_ID; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AU_OBSERVATION_TEXT","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_GETMANAGEDOBSERVATIONSTEXT","Confirmed Active","AR","GetManagedObservationText; GetManagedObservationTextForBranches","T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_CONTROL_VIOLATION; T_CONTROL_VIOLATION_SUB; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD","","T_CURSOR; V_NAME; T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_CONTROL_VIOLATION; V_CAT_ID; T_CONTROL_VIOLATION_SUB; V_CAT_NATURE_ID; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_GET_AUDITEE_OBSERVATION_RESPONSE_EVIDENCES_BY_OBS_ID","Confirmed Active","AR","GetRespondedObservationEvidences","T_AU_OBSERVATIONS_AUDITEE_EVIDENCES; T_AU_OBSERVATION_TEXT","","T_AU_OBSERVATION; T_CURSOR; T_AU_OBSERVATIONS_AUDITEE_EVIDENCES; T_AU_OBSERVATION_TEXT","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_GET_DETAILS_FOR_MANAGE_OBSERVATIONS_TEXT","Confirmed Active","AR","GetManagedAllObservationsText","V_PARA_TEXT_FIELD_AIS; V_PARA_TEXT_DEPARTMENT_AIS","","T_CURSOR; V_PARA_TEXT_FIELD_AIS; V_PARA_TEXT_DEPARTMENT_AIS","True","Keep within future-state module design"
