DBConnection method,active_reference_count,references
GetLoanCaseDetails,2,"AIS\DBConnection.cs:2996:public List<LoanCaseModel> GetLoanCaseDetails(int lid = 0, string type = """", int ENG_ID = 0) | AIS\Controllers\ApiCallsController.cs:1704:return dBConnection.GetLoanCaseDetails(Loan_case, LOAN_TYPE, ENG_ID);"
GetLoanCaseDocuments,2,AIS\DBConnection.cs:3042:public List<LoanCasedocModel> GetLoanCaseDocuments(int ENG_ID) | AIS\Controllers\ApiCallsController.cs:2224:return dBConnection.GetLoanCaseDocuments(ENG_ID);
GetLoansScheme,3,"AIS\DBConnection.archive.cs:35:public object GetLoansScheme(int engId) => _dbConnection.GetLoansScheme(engId); | AIS\DBConnection.cs:4145:public List<LoanSchemeModel> GetLoansScheme(int engId) | AIS\Controllers\ArchiveController.cs:223:ViewData[""GetLoanScheme""] = archiveDbConnection.GetLoansScheme(engId);"
GetLoansSchemeYearly,3,"AIS\DBConnection.archive.cs:36:public object GetLoansSchemeYearly(int engId) => _dbConnection.GetLoansSchemeYearly(engId); | AIS\DBConnection.cs:4188:public List<LoanSchemeYearlyModel> GetLoansSchemeYearly(int engId) | AIS\Controllers\ArchiveController.cs:232:ViewData[""GetLoanScheme""] = archiveDbConnection.GetLoansSchemeYearly(engId);"
GetOldParasBranchComplianceSubmission,2,AIS\DBConnection.HD.cs:919:public List<GetOldParasforComplianceSettlement> GetOldParasBranchComplianceSubmission() | AIS\Controllers\ApiCallsController.cs:2463:return dBConnection.GetOldParasBranchComplianceSubmission();
GetOldParasBranchComplianceTextForHeadAZ,2,"AIS\DBConnection.HD.cs:783:public GetOldParasBranchComplianceTextModel GetOldParasBranchComplianceTextForHeadAZ(int PID, string Ref_P, string OBS_I | AIS\Controllers\ApiCallsController.cs:2420:return dBConnection.GetOldParasBranchComplianceTextForHeadAZ(PID, REF_P, OBS_ID, PARA_CATEGORY, REPLY_DATE);"
GetOldParasBranchComplianceTextForImpIncharge,2,"AIS\DBConnection.HD.cs:704:public GetOldParasBranchComplianceTextModel GetOldParasBranchComplianceTextForImpIncharge(int PID, string Ref_P, string  | AIS\Controllers\ApiCallsController.cs:2402:return dBConnection.GetOldParasBranchComplianceTextForImpIncharge(PID, REF_P, PARA_CATEGORY, REPLY_DATE, OBS_ID);"
GetOldParasBranchComplianceTextForZone,2,"AIS\DBConnection.AE.cs:1102:public GetOldParasBranchComplianceTextModel GetOldParasBranchComplianceTextForZone(string Ref_P, string PARA_CATEGORY, s | AIS\Controllers\ApiCallsController.cs:2389:return dBConnection.GetOldParasBranchComplianceTextForZone(REF_P, PARA_CATEGORY, REPLY_DATE, OBS_ID);"
GetOldParasBranchComplianceTextForZoneRef,2,"AIS\DBConnection.AE.cs:1139:public GetOldParasBranchComplianceTextModel GetOldParasBranchComplianceTextForZoneRef(string Ref_P, string PARA_CATEGORY | AIS\Controllers\ApiCallsController.cs:2395:return dBConnection.GetOldParasBranchComplianceTextForZoneRef(REF_P, PARA_CATEGORY, REPLY_DATE, OBS_ID);"
GetOldParasBranchComplianceTextRef,2,"AIS\DBConnection.AE.cs:1065:public GetOldParasBranchComplianceTextModel GetOldParasBranchComplianceTextRef(string Ref_P, string PARA_CATEGORY, strin | AIS\Controllers\ApiCallsController.cs:2383:return dBConnection.GetOldParasBranchComplianceTextRef(REF_P, PARA_CATEGORY, REPLY_DATE, OBS_ID);"
GetOldParasForFinalSettlement,3,AIS\DBConnection.HD.cs:967:public List<GetOldParasForFinalSettlement> GetOldParasForFinalSettlement() | AIS\DBConnection.HD.cs:993:GetOldParasForFinalSettlement chk = new GetOldParasForFinalSettlement(); | AIS\Controllers\ApiCallsController.cs:2499:return dBConnection.GetOldParasForFinalSettlement();
GetOldParasForReviewer,2,AIS\DBConnection.AE.cs:1308:public List<GetOldParasForComplianceReviewer> GetOldParasForReviewer() | AIS\Controllers\ApiCallsController.cs:2442:return dBConnection.GetOldParasForReviewer();
GetOldParasForReviewerRef,2,AIS\DBConnection.AE.cs:1357:public List<GetOldParasForComplianceReviewer> GetOldParasForReviewerRef() | AIS\Controllers\ApiCallsController.cs:2448:return dBConnection.GetOldParasForReviewerRef();
