page_key,page_key,view_name,controller_name,action_name,http_method,call_type,source_type,confidence_level,Api Path,
,MULTIPLE_OR_UNKNOWN,AuditeePortal/Para_Text_Update_FAD.cshtml,ApiCalls,get_old_para_br_compliance_text_update,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_old_para_br_compliance_text_update,
,MULTIPLE_OR_UNKNOWN,AuditeePortal/Para_Text_Update_FAD.cshtml,ApiCalls,add_old_para_br_compliance_reply,POST,AJAX,VIEW,MEDIUM, /ApiCalls/add_old_para_br_compliance_reply,
48,48,AuditeePortal/old_outstanding_paras.cshtml,ApiCalls,get_assigned_observation_old_paras,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_assigned_observation_old_paras,
51,51,AuditeePortal/observation_assigned.cshtml,UploadFile,UploadAuditeeEvideces,GET,AJAX,VIEW,MEDIUM, /UploadFile/UploadAuditeeEvideces,
51,51,AuditeePortal/observation_assigned.cshtml,UploadFile,DeleteAuditeeEvidences,POST,AJAX,VIEW,MEDIUM, /UploadFile/DeleteAuditeeEvidences,
51,51,AuditeePortal/observation_assigned.cshtml,ApiCalls,get_assigned_observation,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_assigned_observation,
51,51,AuditeePortal/observation_assigned.cshtml,ApiCalls,get_observation_text,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_observation_text,
51,51,AuditeePortal/observation_assigned.cshtml,ApiCalls,get_auditee_evidence_data,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_auditee_evidence_data,
51,51,AuditeePortal/observation_assigned.cshtml,ApiCalls,reply_observation,POST,AJAX,VIEW,MEDIUM, /ApiCalls/reply_observation,
53,53,AuditeePortal/ccqs.cshtml,ApiCalls,get_ccqs,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_ccqs,
53,53,AuditeePortal/ccqs.cshtml,ApiCalls,update_ccq,POST,AJAX,VIEW,MEDIUM, /ApiCalls/update_ccq,
,MULTIPLE_OR_UNKNOWN,AuditeePortal/old_para_reply_cad.cshtml,ApiCalls,get_old_para_management,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_old_para_management,
,MULTIPLE_OR_UNKNOWN,AuditeePortal/old_para_reply_cad.cshtml,Execution,sub_voilation,POST,AJAX,VIEW,MEDIUM, /Execution/sub_voilation,
,MULTIPLE_OR_UNKNOWN,AuditeePortal/old_para_reply_cad.cshtml,Execution,risk_activities,POST,AJAX,VIEW,MEDIUM, /Execution/risk_activities,
,MULTIPLE_OR_UNKNOWN,AuditeePortal/old_para_reply_cad.cshtml,ApiCalls,add_legacy_para_cad_reply,POST,AJAX,VIEW,MEDIUM, /ApiCalls/add_legacy_para_cad_reply,
,MULTIPLE_OR_UNKNOWN,AuditeePortal/old_para_reply_cad.cshtml,ApiCalls,add_legacy_para_cad_compliance,POST,AJAX,VIEW,MEDIUM, /ApiCalls/add_legacy_para_cad_compliance,
,MULTIPLE_OR_UNKNOWN,IID/InitialAssessment.cshtml,g_asiBaseURL + ,ApiCalls,GET,AJAX,VIEW,MEDIUM, /ApiCalls/AddAssessment,
,MULTIPLE_OR_UNKNOWN,IID/SubmitComplaint.cshtml,g_asiBaseURL + ,ApiCalls,GET,AJAX,VIEW,MEDIUM, /ApiCalls/SubmitComplaint,
,MULTIPLE_OR_UNKNOWN,IID/InquiryReport.cshtml,g_asiBaseURL + ,ApiCalls,GET,AJAX,VIEW,MEDIUM, /ApiCalls/AddInquiryReport,
166,166,HM/old_paras_monitoring_ppno.cshtml,ApiCalls,get_old_paras_for_monitoring_ppno,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_old_paras_for_monitoring_ppno,
166,166,HM/old_paras_monitoring_ppno.cshtml,ApiCalls,get_user_name,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_user_name,
166,166,HM/old_paras_monitoring_ppno.cshtml,ApiCalls,getallparatext,GET,AJAX,VIEW,MEDIUM, /ApiCalls/getallparatext,
,MULTIPLE_OR_UNKNOWN,HM/SbpObservationRegister.cshtml,API_BASE_URL + ,api,GET,AJAX,VIEW,MEDIUM, /api/hd/observation/authenticate,
,MULTIPLE_OR_UNKNOWN,HM/SbpObservationRegister.cshtml,API_BASE_URL + ,api,GET,AJAX,VIEW,MEDIUM, /api/hd/observation/delete/request,
,MULTIPLE_OR_UNKNOWN,HM/SbpObservationRegister.cshtml,API_BASE_URL + ,api,GET,AJAX,VIEW,MEDIUM, /api/hd/observation/response/delete/request,
,MULTIPLE_OR_UNKNOWN,HM/SbpObservationRegister.cshtml,API_BASE_URL + ,api,GET,AJAX,VIEW,MEDIUM, /api/hd/observation/request/approve,
,MULTIPLE_OR_UNKNOWN,HM/SbpObservationRegister.cshtml,API_BASE_URL + ,api,GET,AJAX,VIEW,MEDIUM, /api/hd/observation/request/reject,
,MULTIPLE_OR_UNKNOWN,HM/SbpObservationRegister.cshtml,API_BASE_URL + ,api,GET,AJAX,VIEW,MEDIUM, /api/hd/observation/request/reverse,
,MULTIPLE_OR_UNKNOWN,HM/SbpObservationRegister.cshtml,API_BASE_URL + ,api,GET,FETCH,VIEW,MEDIUM, /api/hd/observation/register?observationTypeId= , encodeURIComponent(typeId)
,MULTIPLE_OR_UNKNOWN,HM/SbpObservationHistory.cshtml,API_BASE_URL + ,api,GET,FETCH,VIEW,MEDIUM, /api/hd/observation/response/update,
120,120,HM/dashboard.cshtml,ApiCalls,get_pie_chart_data,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_pie_chart_data,
165,165,HM/old_paras_monitoring.cshtml,ApiCalls,get_zone_Branches,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_zone_Branches,
165,165,HM/old_paras_monitoring.cshtml,ApiCalls,get_old_paras_for_monitoring,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_old_paras_for_monitoring,
165,165,HM/old_paras_monitoring.cshtml,ApiCalls,get_all_para_text,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_all_para_text,
,MULTIPLE_OR_UNKNOWN,Dashboard/no_entities_risk_based_planning.cshtml,ApiCalls,get_risk_base_plan_for_dashboard,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_risk_base_plan_for_dashboard,
223,223,Dashboard/functional_resp_wise_paras_ho.cshtml,ApiCalls,get_functional_owner_area_for_functional_responsibility_wise_paras_ho,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_functional_owner_area_for_functional_responsibility_wise_paras_ho,
223,223,Dashboard/functional_resp_wise_paras_ho.cshtml,ApiCalls,get_violation_area_for_functional_responsibility_wise_paras_ho,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_violation_area_for_functional_responsibility_wise_paras_ho,
223,223,Dashboard/functional_resp_wise_paras_ho.cshtml,ApiCalls,get_sub_violation_area_for_functional_responsibility_wise_paras_ho,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_sub_violation_area_for_functional_responsibility_wise_paras_ho,
223,223,Dashboard/functional_resp_wise_paras_ho.cshtml,ApiCalls,get_functional_responsibility_wise_paras_for_dashboard_ho,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_functional_responsibility_wise_paras_for_dashboard_ho,
241,241,Dashboard/annex_wise_obs.cshtml,ApiCalls,get_annex_wise_observations,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_annex_wise_observations,
241,241,Dashboard/annex_wise_obs.cshtml,ApiCalls,get_functional_observation_text,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_functional_observation_text,
241,241,Dashboard/annex_wise_obs.cshtml,ApiCalls,get_analysis_detail_paras,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_analysis_detail_paras,
241,241,Dashboard/annex_wise_obs.cshtml,ApiCalls,get_analysis_summary_paras,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_analysis_summary_paras,
254,254,Dashboard/compliance_summary.cshtml,ApiCalls,get_compliance_summary,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_compliance_summary,
